session_id,eligible_gold_count,baseline_gold_hits,rewrite_gold_hits,baseline_r5,rewrite_r5,delta_r5,baseline_r10,rewrite_r10,baseline_r20,rewrite_r20,baseline_mrr,rewrite_mrr,baseline_mean_gold_rank,rewrite_mean_gold_rank,promoted_gold,demoted_gold,net_gold_gain,rescued_queries,hurt_queries,unchanged_hit_queries,unchanged_miss_queries,baseline_macro_r5,rewrite_macro_r5,macro_delta_r5
S001,21,7,8,0.3333333333333333,0.38095238095238093,0.047619047619047616,0.5714285714285714,0.5238095238095238,0.8571428571428571,0.8095238095238095,0.3321719286005,0.217947851655282,10.238095238095237,11.095238095238095,2,1,1,1,1,6,6,,,
S002,32,14,12,0.4375,0.375,-0.0625,0.6875,0.65625,0.90625,0.84375,0.30921758119900533,0.3084736251402918,9.78125,11.34375,3,5,-2,2,3,10,6,,,
S003,43,10,16,0.23255813953488372,0.37209302325581395,0.13953488372093023,0.4186046511627907,0.4186046511627907,0.5813953488372093,0.6511627906976745,0.251890510659486,0.2823702964847644,20.58139534883721,17.930232558139537,6,0,6,4,0,8,14,,,
S004,32,7,8,0.21875,0.25,0.03125,0.4375,0.5,0.6875,0.65625,0.23194041924156755,0.20260818455166657,16.84375,15.53125,4,3,1,3,3,4,11,,,
S005,26,12,8,0.46153846153846156,0.3076923076923077,-0.15384615384615385,0.5769230769230769,0.5384615384615384,0.8076923076923077,0.7307692307692307,0.38994798344643544,0.2995359965948201,11.23076923076923,13.807692307692308,1,5,-4,0,4,8,5,,,
Aggregate,154,50,52,0.3246753246753247,0.33766233766233766,0.012987012987012991,0.525974025974026,0.5194805194805194,0.7467532467532467,0.7272727272727273,0.2948787273272229,0.2648255310850595,14.571428571428571,14.435064935064934,16,14,2,10,11,36,42,0.3367359868813357,0.33714754238010053,0.0004115554987648151
