config,session_id,query_id,best_gold_score,best_non_gold_score,hard_negative_margin
M3_ORIGINAL,S001,S001-Q007,0.5695918202400208,0.6231940388679504,-0.05360221862792969
M3_ORIGINAL,S001,S001-Q011,0.5533636212348938,0.5695689916610718,-0.01620537042617798
M3_ORIGINAL,S001,S001-Q013,0.6190046668052673,0.6319295763969421,-0.012924909591674805
M3_ORIGINAL,S001,S001-Q014,0.640762209892273,0.6358816027641296,0.0048806071281433105
M3_ORIGINAL,S001,S001-Q021,0.63550865650177,0.671451210975647,-0.03594255447387695
M3_ORIGINAL,S001,S001-Q022,0.6412522196769714,0.6789871454238892,-0.037734925746917725
M3_ORIGINAL,S001,S001-Q026,0.6262995004653931,0.6562497615814209,-0.029950261116027832
M3_ORIGINAL,S001,S001-Q028,0.5349723100662231,0.5667937397956848,-0.03182142972946167
M3_ORIGINAL,S001,S001-Q033,0.5533723831176758,0.6089121103286743,-0.055539727210998535
M3_ORIGINAL,S001,S001-Q035,0.5435713529586792,0.5956251621246338,-0.05205380916595459
M3_ORIGINAL,S001,S001-Q039,0.5054376721382141,0.5418376922607422,-0.036400020122528076
M3_ORIGINAL,S001,S001-Q042,0.5251415371894836,0.5563934445381165,-0.03125190734863281
M3_ORIGINAL,S001,S001-Q044,0.47145748138427734,0.47977975010871887,-0.008322268724441528
M3_ORIGINAL,S001,S001-Q049,0.601812481880188,0.6540330052375793,-0.05222052335739136
M3_ORIGINAL,S002,S002-Q007,0.526727020740509,0.5338224172592163,-0.007095396518707275
M3_ORIGINAL,S002,S002-Q011,0.4605723023414612,0.47142505645751953,-0.01085275411605835
M3_ORIGINAL,S002,S002-Q013,0.4716430902481079,0.49203410744667053,-0.020391017198562622
M3_ORIGINAL,S002,S002-Q014,0.5477399230003357,0.5579782724380493,-0.010238349437713623
M3_ORIGINAL,S002,S002-Q021,0.6122481822967529,0.6564138531684875,-0.04416567087173462
M3_ORIGINAL,S002,S002-Q022,0.6928691267967224,0.7152295708656311,-0.02236044406890869
M3_ORIGINAL,S002,S002-Q026,0.613763689994812,0.6369753479957581,-0.023211658000946045
M3_ORIGINAL,S002,S002-Q028,0.708991289138794,0.7221250534057617,-0.013133764266967773
M3_ORIGINAL,S002,S002-Q033,0.685886561870575,0.6753087043762207,0.010577857494354248
M3_ORIGINAL,S002,S002-Q035,0.6328666806221008,0.6810108423233032,-0.04814416170120239
M3_ORIGINAL,S002,S002-Q039,0.6525304913520813,0.654641330242157,-0.0021108388900756836
M3_ORIGINAL,S002,S002-Q042,0.6850023865699768,0.7567782998085022,-0.07177591323852539
M3_ORIGINAL,S002,S002-Q044,0.6717451214790344,0.7018666863441467,-0.030121564865112305
M3_ORIGINAL,S002,S002-Q049,0.6097185015678406,0.6507298350334167,-0.04101133346557617
M3_ORIGINAL,S002,S002-Q052,0.6142757534980774,0.6190655827522278,-0.004789829254150391
M3_ORIGINAL,S002,S002-Q055,0.5954191088676453,0.6331160664558411,-0.0376969575881958
M3_ORIGINAL,S002,S002-Q056,0.4398859441280365,0.5180550217628479,-0.0781690776348114
M3_ORIGINAL,S002,S002-Q063,0.6772945523262024,0.7129653096199036,-0.03567075729370117
M3_ORIGINAL,S002,S002-Q065,0.6337391138076782,0.672501266002655,-0.03876215219497681
M3_ORIGINAL,S002,S002-Q066,0.6409434080123901,0.6291641592979431,0.011779248714447021
M3_ORIGINAL,S002,S002-Q070,0.5022825598716736,0.5769596099853516,-0.07467705011367798
M3_ORIGINAL,S003,S003-Q007,0.5180636048316956,0.5556067824363708,-0.03754317760467529
M3_ORIGINAL,S003,S003-Q011,0.5839464664459229,0.6052656769752502,-0.021319210529327393
M3_ORIGINAL,S003,S003-Q013,0.5049920678138733,0.5516955256462097,-0.046703457832336426
M3_ORIGINAL,S003,S003-Q014,0.6313982605934143,0.6086024045944214,0.02279585599899292
M3_ORIGINAL,S003,S003-Q021,0.7111189961433411,0.7267587184906006,-0.01563972234725952
M3_ORIGINAL,S003,S003-Q022,0.6216847896575928,0.5983561873435974,0.02332860231399536
M3_ORIGINAL,S003,S003-Q026,0.6609920263290405,0.7000880837440491,-0.039096057415008545
M3_ORIGINAL,S003,S003-Q028,0.5996504426002502,0.6063985228538513,-0.006748080253601074
M3_ORIGINAL,S003,S003-Q033,0.6189886331558228,0.6725808382034302,-0.05359220504760742
M3_ORIGINAL,S003,S003-Q035,0.5750514268875122,0.6227507591247559,-0.04769933223724365
M3_ORIGINAL,S003,S003-Q039,0.668163001537323,0.7051814198493958,-0.037018418312072754
M3_ORIGINAL,S003,S003-Q042,0.5155439972877502,0.577094554901123,-0.0615505576133728
M3_ORIGINAL,S003,S003-Q044,0.5695881843566895,0.60551917552948,-0.03593099117279053
M3_ORIGINAL,S003,S003-Q049,0.5394620299339294,0.6292754411697388,-0.08981341123580933
M3_ORIGINAL,S003,S003-Q052,0.6742299795150757,0.6929935216903687,-0.01876354217529297
M3_ORIGINAL,S003,S003-Q055,0.5575442314147949,0.6373113989830017,-0.07976716756820679
M3_ORIGINAL,S003,S003-Q056,0.5558580160140991,0.5870988965034485,-0.031240880489349365
M3_ORIGINAL,S003,S003-Q063,0.5424960851669312,0.6043931245803833,-0.06189703941345215
M3_ORIGINAL,S003,S003-Q065,0.5685656666755676,0.6227905750274658,-0.05422490835189819
M3_ORIGINAL,S003,S003-Q066,0.5405796766281128,0.566032886505127,-0.02545320987701416
M3_ORIGINAL,S003,S003-Q070,0.5726947784423828,0.6014693975448608,-0.028774619102478027
M3_ORIGINAL,S003,S003-Q077,0.6826425790786743,0.7061135172843933,-0.023470938205718994
M3_ORIGINAL,S003,S003-Q078,0.6038116812705994,0.6213687658309937,-0.017557084560394287
M3_ORIGINAL,S003,S003-Q084,0.5716773867607117,0.6570861339569092,-0.08540874719619751
M3_ORIGINAL,S003,S003-Q088,0.6000753045082092,0.6731705069541931,-0.07309520244598389
M3_ORIGINAL,S003,S003-Q091,0.5860755443572998,0.624987006187439,-0.03891146183013916
M3_ORIGINAL,S004,S004-Q007,0.5336263179779053,0.5693391561508179,-0.0357128381729126
M3_ORIGINAL,S004,S004-Q011,0.677075982093811,0.6577553749084473,0.01932060718536377
M3_ORIGINAL,S004,S004-Q013,0.6566706895828247,0.7065812945365906,-0.04991060495376587
M3_ORIGINAL,S004,S004-Q014,0.5949380397796631,0.6552556157112122,-0.06031757593154907
M3_ORIGINAL,S004,S004-Q021,0.635066568851471,0.6729313135147095,-0.037864744663238525
M3_ORIGINAL,S004,S004-Q022,0.7513253092765808,0.7209728360176086,0.030352473258972168
M3_ORIGINAL,S004,S004-Q026,0.7166712880134583,0.7767776846885681,-0.06010639667510986
M3_ORIGINAL,S004,S004-Q028,0.7259297370910645,0.7183741927146912,0.007555544376373291
M3_ORIGINAL,S004,S004-Q033,0.6985905766487122,0.7146412134170532,-0.016050636768341064
M3_ORIGINAL,S004,S004-Q035,0.6165722608566284,0.6545121073722839,-0.03793984651565552
M3_ORIGINAL,S004,S004-Q039,0.6054825186729431,0.6499086022377014,-0.0444260835647583
M3_ORIGINAL,S004,S004-Q042,0.5281270742416382,0.5890721082687378,-0.06094503402709961
M3_ORIGINAL,S004,S004-Q044,0.47690021991729736,0.47833311557769775,-0.0014328956604003906
M3_ORIGINAL,S004,S004-Q049,0.5825458765029907,0.7159843444824219,-0.13343846797943115
M3_ORIGINAL,S004,S004-Q052,0.6418703198432922,0.6869434118270874,-0.045073091983795166
M3_ORIGINAL,S004,S004-Q055,0.5515371561050415,0.6504105925559998,-0.09887343645095825
M3_ORIGINAL,S004,S004-Q056,0.5724908113479614,0.6592414975166321,-0.08675068616867065
M3_ORIGINAL,S004,S004-Q063,0.5755828619003296,0.6059790253639221,-0.03039616346359253
M3_ORIGINAL,S004,S004-Q065,0.5571133494377136,0.6261088252067566,-0.06899547576904297
M3_ORIGINAL,S004,S004-Q066,0.4728369116783142,0.5384016633033752,-0.06556475162506104
M3_ORIGINAL,S004,S004-Q070,0.5663921236991882,0.6246321201324463,-0.05823999643325806
M3_ORIGINAL,S005,S005-Q007,0.5787516832351685,0.6302841901779175,-0.05153250694274902
M3_ORIGINAL,S005,S005-Q011,0.4971899390220642,0.5150107145309448,-0.017820775508880615
M3_ORIGINAL,S005,S005-Q013,0.5515848398208618,0.5236871838569641,0.027897655963897705
M3_ORIGINAL,S005,S005-Q014,0.48496145009994507,0.4846291244029999,0.00033232569694519043
M3_ORIGINAL,S005,S005-Q021,0.6069139838218689,0.6346035599708557,-0.027689576148986816
M3_ORIGINAL,S005,S005-Q022,0.6244111657142639,0.6701478958129883,-0.045736730098724365
M3_ORIGINAL,S005,S005-Q026,0.6108766198158264,0.6326835751533508,-0.021806955337524414
M3_ORIGINAL,S005,S005-Q028,0.6212858557701111,0.6513069272041321,-0.030021071434020996
M3_ORIGINAL,S005,S005-Q033,0.6369536519050598,0.6411440372467041,-0.004190385341644287
M3_ORIGINAL,S005,S005-Q035,0.6251775622367859,0.6438826322555542,-0.01870507001876831
M3_ORIGINAL,S005,S005-Q039,0.5615666508674622,0.6095231771469116,-0.04795652627944946
M3_ORIGINAL,S005,S005-Q042,0.6399484276771545,0.6561137437820435,-0.016165316104888916
M3_ORIGINAL,S005,S005-Q044,0.6144528388977051,0.6613359451293945,-0.04688310623168945
M3_ORIGINAL,S005,S005-Q049,0.605064332485199,0.604707658290863,0.0003566741943359375
M3_ORIGINAL,S005,S005-Q052,0.615023136138916,0.6446318626403809,-0.029608726501464844
M3_ORIGINAL,S005,S005-Q055,0.54830002784729,0.5516490340232849,-0.003349006175994873
M3_ORIGINAL,S005,S005-Q056,0.5767384171485901,0.6349703669548035,-0.05823194980621338
B1,S001,S001-Q007,0.5491166710853577,0.6028324961662292,-0.05371582508087158
B1,S001,S001-Q011,0.5269582867622375,0.5469121932983398,-0.019953906536102295
B1,S001,S001-Q013,0.596556544303894,0.6083716750144958,-0.011815130710601807
B1,S001,S001-Q014,0.613271176815033,0.61454838514328,-0.0012772083282470703
B1,S001,S001-Q021,0.6089586019515991,0.6466015577316284,-0.0376429557800293
B1,S001,S001-Q022,0.6099948883056641,0.6456261277198792,-0.03563123941421509
B1,S001,S001-Q026,0.6027886867523193,0.6371780037879944,-0.03438931703567505
B1,S001,S001-Q028,0.5208999514579773,0.5527527332305908,-0.031852781772613525
B1,S001,S001-Q033,0.5252218246459961,0.5927369594573975,-0.06751513481140137
B1,S001,S001-Q035,0.5158630013465881,0.5675570368766785,-0.05169403553009033
B1,S001,S001-Q039,0.49179184436798096,0.5280932188034058,-0.036301374435424805
B1,S001,S001-Q042,0.5124401450157166,0.5398372411727905,-0.027397096157073975
B1,S001,S001-Q044,0.4523327052593231,0.46683257818222046,-0.014499872922897339
B1,S001,S001-Q049,0.5785576701164246,0.6367326378822327,-0.058174967765808105
B1,S002,S002-Q007,0.5114071369171143,0.5162222981452942,-0.004815161228179932
B1,S002,S002-Q011,0.4445032477378845,0.4521562159061432,-0.007652968168258667
B1,S002,S002-Q013,0.45827728509902954,0.47935959696769714,-0.021082311868667603
B1,S002,S002-Q014,0.5201649069786072,0.5329923033714294,-0.012827396392822266
B1,S002,S002-Q021,0.5892989635467529,0.6351507306098938,-0.04585176706314087
B1,S002,S002-Q022,0.6655985713005066,0.6853172183036804,-0.019718647003173828
B1,S002,S002-Q026,0.5901545286178589,0.6099298000335693,-0.01977527141571045
B1,S002,S002-Q028,0.676769495010376,0.6884722113609314,-0.01170271635055542
B1,S002,S002-Q033,0.6593426465988159,0.6460437178611755,0.01329892873764038
B1,S002,S002-Q035,0.5975682139396667,0.6468103528022766,-0.04924213886260986
B1,S002,S002-Q039,0.6248130202293396,0.6283170580863953,-0.003504037857055664
B1,S002,S002-Q042,0.645104706287384,0.7153826951980591,-0.07027798891067505
B1,S002,S002-Q044,0.6450252532958984,0.6742256283760071,-0.029200375080108643
B1,S002,S002-Q049,0.5822677612304688,0.6239408254623413,-0.04167306423187256
B1,S002,S002-Q052,0.595367968082428,0.6043427586555481,-0.008974790573120117
B1,S002,S002-Q055,0.5838069915771484,0.6234847903251648,-0.03967779874801636
B1,S002,S002-Q056,0.4214964509010315,0.5015689134597778,-0.08007246255874634
B1,S002,S002-Q063,0.646731436252594,0.6883432865142822,-0.04161185026168823
B1,S002,S002-Q065,0.6059929132461548,0.6396422982215881,-0.03364938497543335
B1,S002,S002-Q066,0.6135399341583252,0.6121119260787964,0.0014280080795288086
B1,S002,S002-Q070,0.48913657665252686,0.5665435791015625,-0.07740700244903564
B1,S003,S003-Q007,0.5048167705535889,0.5422388315200806,-0.0374220609664917
B1,S003,S003-Q011,0.5703687071800232,0.5897804498672485,-0.019411742687225342
B1,S003,S003-Q013,0.4789983630180359,0.523481011390686,-0.044482648372650146
B1,S003,S003-Q014,0.6182705163955688,0.5968985557556152,0.021371960639953613
B1,S003,S003-Q021,0.6877714991569519,0.7107071876525879,-0.022935688495635986
B1,S003,S003-Q022,0.5906228423118591,0.5818197131156921,0.008803129196166992
B1,S003,S003-Q026,0.6430277824401855,0.6766331791877747,-0.03360539674758911
B1,S003,S003-Q028,0.5689404606819153,0.579683244228363,-0.010742783546447754
B1,S003,S003-Q033,0.5957573652267456,0.657829999923706,-0.06207263469696045
B1,S003,S003-Q035,0.5414833426475525,0.5983436703681946,-0.05686032772064209
B1,S003,S003-Q039,0.6451711058616638,0.6793357729911804,-0.0341646671295166
B1,S003,S003-Q042,0.5011304616928101,0.5638944506645203,-0.0627639889717102
B1,S003,S003-Q044,0.5401386618614197,0.5765634775161743,-0.03642481565475464
B1,S003,S003-Q049,0.5251405835151672,0.6187731623649597,-0.09363257884979248
B1,S003,S003-Q052,0.6446317434310913,0.6664926409721375,-0.021860897541046143
B1,S003,S003-Q055,0.5423912405967712,0.6162728667259216,-0.07388162612915039
B1,S003,S003-Q056,0.5305235981941223,0.5599631667137146,-0.029439568519592285
B1,S003,S003-Q063,0.5272744297981262,0.5853080153465271,-0.05803358554840088
B1,S003,S003-Q065,0.5552988648414612,0.6056402921676636,-0.05034142732620239
B1,S003,S003-Q066,0.5283573269844055,0.5501864552497864,-0.02182912826538086
B1,S003,S003-Q070,0.5568603873252869,0.5824317932128906,-0.02557140588760376
B1,S003,S003-Q077,0.6576249599456787,0.6788797378540039,-0.021254777908325195
B1,S003,S003-Q078,0.582022488117218,0.6046541333198547,-0.02263164520263672
