Add 方式,session_id,source_turn_id,page_id,raw_token_count_including_special,effective_token_count,truncated,summary_tokens_total,summary_tokens_kept,keywords_tokens_total,keywords_tokens_kept,user_tokens_total,user_tokens_kept,user_truncation_status
原 Production Add（仅当前 User + Assistant）,S003,S003-Q015,1b59ffe6-5fba-511e-b39a-6529e998d6ca,503,503,False,408,408,40,40,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q016,25fd6ff3-e933-563b-baa2-5722e21d26fc,352,352,False,264,264,39,39,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q017,c2e23686-4871-5c9c-952e-5ac662b6d9bb,245,245,False,151,151,39,39,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q018,bd6d22da-10ea-5784-b308-d3f5d1f57469,373,373,False,297,297,45,45,29,29,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q019,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,604,512,True,502,502,43,8,57,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q020,8319fad1-425d-545c-8ef3-4df0fdc3b11d,531,512,True,428,428,41,41,60,41,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q021,78d45bb9-9e17-532c-ac94-a233f3897490,658,512,True,565,510,45,0,46,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q022,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,363,363,False,279,279,39,39,43,43,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q023,c96d749e-7c02-5289-ab48-fd03586dd5b1,323,323,False,237,237,36,36,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q024,f72f3149-1377-5599-b08d-64731562b90f,615,512,True,513,510,49,0,51,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q025,2013e8e4-8edb-5c7a-9104-a9e3d152b49c,346,346,False,259,259,38,38,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q026,cdb5dd69-63b7-55e7-a4a0-85d8028c468c,490,490,False,398,398,40,40,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q027,4ed05884-3478-5a91-a63f-3067fd41956d,577,512,True,476,476,45,34,54,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q028,7a6c2c70-6d05-5a6d-9a53-32d92efee826,393,393,False,297,297,41,41,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q029,1b535a84-9ae4-50ee-bbda-1d7ba186183e,292,292,False,196,196,51,51,43,43,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q030,fe6436d0-9e94-53f7-ae4c-13a3d82b10ba,428,428,False,319,319,44,44,63,63,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q031,3feeb57b-680f-5621-a81f-e1d1879ae37d,518,512,True,429,429,40,40,47,41,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q032,c94687e6-820c-5c03-a774-40d03e0f70be,328,328,False,234,234,42,42,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q033,05e85ae0-3d1a-5b35-8b21-33024859d641,376,376,False,282,282,39,39,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q034,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,488,488,False,394,394,41,41,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q035,e8774fb1-5e27-5d8f-8399-9a697a3030b4,316,316,False,219,219,48,48,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q036,82bf5c46-13d0-5fb7-9826-308047a68fc7,363,363,False,280,280,44,44,37,37,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q037,cd287a69-0373-5edb-a16a-81be12c7a77e,345,345,False,252,252,38,38,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q038,a66c00f0-adb2-544a-954c-97b7393168b0,400,400,False,306,306,45,45,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q039,de8457cd-4b07-5775-9f5e-95f5d65583a0,339,339,False,259,259,37,37,41,41,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q040,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,358,358,False,262,262,40,40,54,54,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q041,a6b0b3ff-1196-57db-b387-1d0385fdf04f,653,512,True,558,510,44,0,49,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q042,b304bcc8-8a96-5f89-a945-3cef8078b106,489,489,False,387,387,46,46,54,54,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q043,2316a391-e779-530b-ac2f-055182347d32,540,512,True,446,446,40,40,52,24,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q044,a3d3b3e7-64b2-57ba-8ffc-9f9c741bbb55,368,368,False,275,275,45,45,46,46,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q045,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,664,512,True,569,510,45,0,48,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q046,8b5ae761-3f22-557a-aa9a-f3d5a03b0951,466,466,False,376,376,40,40,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q047,38c8623d-42c1-5db8-ab6e-1f29fd9a82e3,397,397,False,295,295,46,46,54,54,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q048,b00efb33-3321-5736-b5b5-c41450d53202,468,468,False,365,365,45,45,56,56,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q049,52504bc2-69f1-5f7b-a827-97850ce991f6,359,359,False,265,265,40,40,52,52,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q050,59d896c1-0734-53cf-821a-5728dd5fe548,455,455,False,351,351,42,42,60,60,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q051,9409734e-8235-5011-8c1a-60ed15ad9024,408,408,False,310,310,43,43,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q052,cb9da70d-c361-5f9e-9f13-d40731425363,537,512,True,447,447,37,37,51,26,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q053,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,282,282,False,191,191,47,47,42,42,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q054,00e95e1e-ea70-50c3-b519-57b34f70bf65,268,268,False,195,195,35,35,36,36,FULLY_KEPT
