scheme_id,candidate_id,input_id,session_id,session_code,query_id,repeat,measurement_reused_for_identical_chain,candidate_generation_ms,packing_ms,reranker_ms,total_e2e_ms
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q039,1,False,315.2023770089727,0.10320000001229346,10911.890624993248,11227.220802000375
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-Q039,1,False,377.55997499334626,0.1033000007737428,12179.8676430044,12557.544618000975
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q039,1,True,315.2023770089727,0.10320000001229346,10911.890624993248,11227.220802000375
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q042,1,False,321.22435700148344,0.09000000136438757,10784.490499994718,11105.818056996213
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-Q042,1,False,350.9678839909611,0.14959998952690512,11472.776335998788,11823.91982000263
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q042,1,True,321.22435700148344,0.09000000136438757,10784.490499994718,11105.818056996213
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q044,1,False,241.83376900327858,0.09399998816661537,9793.617552000796,10035.56142099842
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-Q044,1,False,146.5883019991452,0.07520000508520752,11931.74581999483,12078.421022000839
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q044,1,True,241.83376900327858,0.09399998816661537,9793.617552000796,10035.56142099842
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q049,1,False,383.2374619960319,0.14579900016542524,17899.739133004914,18283.155094002723
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-Q049,1,False,547.585431006155,0.13279999257065356,18592.787978996057,19140.540310007054
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-Q049,1,True,383.2374619960319,0.14579900016542524,17899.739133004914,18283.155094002723
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q007,1,False,54.428923001978546,0.026000008801929653,1648.2741619984154,1702.7340849890606
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q007,1,False,149.2696880013682,0.02510000194888562,1973.9795009954832,2123.280389001593
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q007,1,True,54.428923001978546,0.026000008801929653,1648.2741619984154,1702.7340849890606
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q011,1,False,116.52983499516267,0.06889901123940945,4022.462262000772,4139.070096003707
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q011,1,False,92.86976700241212,0.03609601117204875,3765.1806870126165,3858.0924499983666
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q011,1,True,116.52983499516267,0.06889901123940945,4022.462262000772,4139.070096003707
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q013,1,False,184.1249449935276,0.07939100032672286,5330.431184003828,5514.64511899394
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q013,1,False,166.79662899696268,0.05399600195232779,4762.038909990224,4928.8956340024015
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q013,1,True,184.1249449935276,0.07939100032672286,5330.431184003828,5514.64511899394
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q014,1,False,62.53845900937449,0.1693820086074993,4542.204623008729,4604.919263991178
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q014,1,False,152.96350501012057,0.044496002374216914,4535.260842996649,4688.276842993218
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q014,1,True,62.53845900937449,0.1693820086074993,4542.204623008729,4604.919263991178
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q021,1,False,178.2726989913499,0.08030900789890438,15361.28449899843,15539.647308993153
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q021,1,False,230.08916300022975,0.3540759935276583,12883.091177005554,13113.552220005658
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q021,1,True,178.2726989913499,0.08030900789890438,15361.28449899843,15539.647308993153
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q022,1,False,371.7280459968606,0.13859599130228162,11447.344328000327,11819.225369996275
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q022,1,False,377.8052549896529,0.0668989960104227,9796.615058003226,10174.49471099826
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q022,1,True,371.7280459968606,0.13859599130228162,11447.344328000327,11819.225369996275
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q026,1,False,93.1216930039227,0.14649999502580613,16975.79080199648,17069.07379500626
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q026,1,False,423.18153199448716,0.11949999316129833,12404.191036999691,12827.507169000455
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q026,1,True,93.1216930039227,0.14649999502580613,16975.79080199648,17069.07379500626
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q028,1,False,141.55477601161692,0.1529809960629791,11382.711254991591,11524.434609993477
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q028,1,False,227.79369101044722,0.10170000314246863,10931.980751993251,11159.892043011496
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q028,1,True,141.55477601161692,0.1529809960629791,11382.711254991591,11524.434609993477
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q033,1,False,172.05502699653152,0.09040000441018492,9533.821037999587,9705.978265003068
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q033,1,False,194.51544499315787,0.09759899694472551,10138.001765997615,10332.628809002927
