configuration,evaluated_query_count,eligible_gold_count,gold_at_5,recall_at_5,gold_at_10,recall_at_10,gold_at_20,recall_at_20,mrr,mean_gold_rank,macro_query_recall_at_5,macro_session_recall_at_5
C3 Dense,97,149,59,0.3959731543624161,84,0.5637583892617449,122,0.8187919463087249,0.32487027528751034,11.25503355704698,0.4209621993127148,0.41172619047619047
C3 Top20 + 20-way LLM Historical Dependency Rerank,97,149,45,0.30201342281879195,79,0.5302013422818792,122,0.8187919463087249,0.27613251006846457,12.134228187919463,0.31958762886597936,0.31220238095238095
C3 Top20 + 5-candidate Batched LLM Historical Dependency Rerank,97,149,44,0.2953020134228188,78,0.5234899328859061,122,0.8187919463087249,0.2695232925754579,12.36241610738255,0.30927835051546393,0.3094642857142857
