configuration,Add 方式,Formatter,Query 检索方式,Eligible Gold,Top5 recalled Gold,Top5,Macro Top5,Top10,Top20,MRR,Mean Gold Rank
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,最近上文 + eviction 真实下文,Summary + Keywords,上下文引用解析后检索（P2）,154,59,0.38311688311688313,0.39801090382485727,0.5454545454545454,0.8181818181818182,0.31992059520313865,11.545454545454545
BAAI/bge-m3，max_length=512,最近上文 + eviction 真实下文,Summary + Keywords,上下文引用解析后检索（P2）,154,57,0.37012987012987014,0.38262628844024194,0.5974025974025974,0.8116883116883117,0.2674110853378936,12.2012987012987
BAAI/bge-m3，max_length=1024,最近上文 + eviction 真实下文,Summary + Keywords,上下文引用解析后检索（P2）,154,57,0.37012987012987014,0.38262628844024194,0.5974025974025974,0.8116883116883117,0.2674110853378936,12.2012987012987
BAAI/bge-m3，max_length=2048,最近上文 + eviction 真实下文,Summary + Keywords,上下文引用解析后检索（P2）,154,57,0.37012987012987014,0.38262628844024194,0.5974025974025974,0.8116883116883117,0.2674110853378936,12.2012987012987
