config,add_variant,search_variant,evaluated_query_count,eligible_gold_count,top5_recalled_gold,micro_r5,macro_session_r5,r10,r20,mrr,mean_gold_rank
OLD_BASE,Add-Old,Search-Baseline,99,154,50,0.3246753246753247,0.3367359868813357,0.525974025974026,0.7467532467532467,0.2948787273272229,14.571428571428571
OLD_P2,Add-Old,Search-P2,99,154,54,0.35064935064935066,0.3601371496720334,0.525974025974026,0.7597402597402597,0.30458163138396327,14.551948051948052
NEW_BASE,Add-New,Search-Baseline,99,154,44,0.2857142857142857,0.28220301984836865,0.4935064935064935,0.7402597402597403,0.23780496226423084,15.11038961038961
NEW_P2,Add-New,Search-P2,99,154,43,0.2792207792207792,0.27755185705767105,0.487012987012987,0.7272727272727273,0.24140210218956965,15.5
