Add Prompt,Query 检索方式,完整实验配置,Eligible Gold,Top5 recalled Gold,Top5 (Micro),Macro Top5,Top10,Top20,MRR,Mean Gold Rank
原 Production Add Prompt,原始问题直接检索,原 Production Add Prompt + 原始问题直接检索,154,50,0.3246753246753247,0.3367359868813357,0.525974025974026,0.7467532467532467,0.2948787273272229,14.571428571428571
原 Production Add Prompt,上下文引用解析后检索,原 Production Add Prompt + 上下文引用解析后检索,154,54,0.35064935064935066,0.3601371496720334,0.525974025974026,0.7597402597402597,0.30458163138396327,14.551948051948052
最小改动 Add Prompt,原始问题直接检索,最小改动 Add Prompt + 原始问题直接检索,154,44,0.2857142857142857,0.29611870687452085,0.487012987012987,0.7337662337662337,0.238263006560748,15.090909090909092
最小改动 Add Prompt,上下文引用解析后检索,最小改动 Add Prompt + 上下文引用解析后检索,154,50,0.3246753246753247,0.3320960047704234,0.487012987012987,0.7467532467532467,0.2537709745292602,15.214285714285714
多检索入口保留 Add Prompt,原始问题直接检索,多检索入口保留 Add Prompt + 原始问题直接检索,154,46,0.2987012987012987,0.3090840361189199,0.5324675324675324,0.7402597402597403,0.2684720614550615,14.655844155844155
多检索入口保留 Add Prompt,上下文引用解析后检索,多检索入口保留 Add Prompt + 上下文引用解析后检索,154,45,0.2922077922077922,0.306264375159724,0.551948051948052,0.7532467532467533,0.2607714785887313,14.915584415584416
任务 + 证据链保留 Add Prompt,原始问题直接检索,任务 + 证据链保留 Add Prompt + 原始问题直接检索,154,45,0.2922077922077922,0.2977287247636085,0.525974025974026,0.7597402597402597,0.270197678990639,14.305194805194805
任务 + 证据链保留 Add Prompt,上下文引用解析后检索,任务 + 证据链保留 Add Prompt + 上下文引用解析后检索,154,43,0.2792207792207792,0.28842639918221313,0.5584415584415584,0.7467532467532467,0.2723478080811073,14.75974025974026
