top_k_sessions,top_k_pages,max_total_pages,effective_page_cutoff,long_range_gold_count,matched_gold,recall_at_k,micro_recall_at_k,hit_rate_at_k,full_recall_at_k,query_mrr_at_k,gold_mrr,gold_mean_rank,unranked_gold,cutoff
1,3,5,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
1,3,10,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
1,3,20,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
1,3,50,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
1,5,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
1,5,10,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
1,5,20,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
1,5,50,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
1,10,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
1,10,10,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
1,10,20,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
1,10,50,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
1,20,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
1,20,10,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
1,20,20,20,21,20,0.9642857142857143,0.9523809523809523,1.0,0.9285714285714286,0.24237786023500307,0.20079785502717834,8.857142857142858,0,20
1,20,50,20,21,20,0.9642857142857143,0.9523809523809523,1.0,0.9285714285714286,0.24237786023500307,0.20079785502717834,8.857142857142858,0,20
3,3,5,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
3,3,10,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
3,3,20,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
3,3,50,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
3,5,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
3,5,10,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
3,5,20,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
3,5,50,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
3,10,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
3,10,10,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
3,10,20,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
3,10,50,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
3,20,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
3,20,10,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
3,20,20,20,21,20,0.9642857142857143,0.9523809523809523,1.0,0.9285714285714286,0.24237786023500307,0.20079785502717834,8.857142857142858,0,20
3,20,50,20,21,20,0.9642857142857143,0.9523809523809523,1.0,0.9285714285714286,0.24237786023500307,0.20079785502717834,8.857142857142858,0,20
5,3,5,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
5,3,10,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
5,3,20,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
5,3,50,3,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,3
5,5,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
5,5,10,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
5,5,20,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
5,5,50,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
5,10,5,5,21,6,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.16666666666666666,0.20079785502717834,8.857142857142858,0,5
5,10,10,10,21,16,0.7857142857142857,0.7619047619047619,0.9285714285714286,0.6428571428571429,0.23588435374149658,0.20079785502717834,8.857142857142858,0,10
