item_type,field,count,mean_chars,median_chars,min_chars,max_chars
Query,task,99,49.282828282828284,47,18,89
Query,fact,99,26.636363636363637,25,7,62
Query,relation,99,41.35353535353536,40,19,74
Page,task,333,88.11711711711712,87,23,202
Page,fact,333,341.8948948948949,318,159,592
Page,relation,333,122.43243243243244,114,41,324
