score_type,query_count,mean_margin,median_margin,positive_margin_rate
C3 Dense,99,-0.037641054452067675,-0.03364408016204834,0.15151515151515152
Task cosine,99,-0.07539463310157217,-0.07276638615183151,0.12121212121212122
Fact cosine,99,-0.030854819983461748,-0.023258151291669305,0.12121212121212122
Relation cosine,99,-0.058203417264220056,-0.052968152893997034,0.12121212121212122
Field-aware final,99,-0.038390333063666314,-0.03920586207025856,0.1717171717171717
