session_id,add_variant,search_variant,eligible_gold_count,r5,r10,r20,mrr,mean_gold_rank,promoted,demoted,net
S001,Old,Baseline,21,0.3333333333333333,0.5714285714285714,0.8571428571428571,0.3321719286005,10.238095238095237,0,0,0
S002,Old,Baseline,32,0.4375,0.6875,0.90625,0.30921758119900533,9.78125,0,0,0
S003,Old,Baseline,43,0.23255813953488372,0.4186046511627907,0.5813953488372093,0.251890510659486,20.58139534883721,0,0,0
S004,Old,Baseline,32,0.21875,0.4375,0.6875,0.23194041924156755,16.84375,0,0,0
S005,Old,Baseline,26,0.46153846153846156,0.5769230769230769,0.8076923076923077,0.38994798344643544,11.23076923076923,0,0,0
S001,Old,P2,21,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334,0,0,0
S002,Old,P2,32,0.46875,0.625,0.875,0.32845253727606666,10.25,0,0,0
S003,Old,P2,43,0.2558139534883721,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676,0,0,0
S004,Old,P2,32,0.28125,0.46875,0.71875,0.2299597060361617,16.59375,0,0,0
S005,Old,P2,26,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153,0,0,0
S001,A1,Baseline,21,0.23809523809523808,0.5238095238095238,0.8571428571428571,0.1758317872603587,12.19047619047619,2,4,-2
S002,A1,Baseline,32,0.21875,0.46875,0.78125,0.2299953745560249,13.90625,0,7,-7
S003,A1,Baseline,43,0.23255813953488372,0.3953488372093023,0.6046511627906976,0.21554471130275282,18.11627906976744,4,4,0
S004,A1,Baseline,32,0.25,0.5,0.65625,0.23690700381489854,15.03125,4,3,1
S005,A1,Baseline,26,0.2692307692307692,0.4230769230769231,0.7307692307692307,0.26257777814683186,13.576923076923077,0,5,-5
S001,A1,P2,21,0.23809523809523808,0.47619047619047616,0.8095238095238095,0.14818879533165247,12.761904761904763,2,4,-2
S002,A1,P2,32,0.25,0.46875,0.78125,0.21491600947665984,13.8125,0,7,-7
S003,A1,P2,43,0.23255813953488372,0.3488372093023256,0.6046511627906976,0.22643150252148125,18.74418604651163,2,3,-1
S004,A1,P2,32,0.21875,0.4375,0.6875,0.2120786172945984,14.78125,2,4,-2
S005,A1,P2,26,0.2692307692307692,0.4230769230769231,0.7692307692307693,0.2611545154192213,14.038461538461538,0,5,-5
S001,A2,Baseline,21,0.23809523809523808,0.5714285714285714,0.8571428571428571,0.17680969823826967,12.380952380952381,2,4,-2
S002,A2,Baseline,32,0.28125,0.5,0.875,0.29780661553797244,12.09375,1,6,-5
S003,A2,Baseline,43,0.20930232558139536,0.4418604651162791,0.627906976744186,0.16986401198751733,20.511627906976745,3,4,-1
S004,A2,Baseline,32,0.28125,0.46875,0.71875,0.22110433542137803,15.28125,4,2,2
S005,A2,Baseline,26,0.3076923076923077,0.5769230769230769,0.8076923076923077,0.2733792067551658,11.961538461538462,1,5,-4
S001,A2,P2,21,0.23809523809523808,0.5238095238095238,0.8571428571428571,0.1747874149659864,12.238095238095237,1,3,-2
S002,A2,P2,32,0.28125,0.53125,0.875,0.329758082294193,12.1875,0,6,-6
S003,A2,P2,43,0.2558139534883721,0.37209302325581395,0.627906976744186,0.20695094695370922,20.11627906976744,2,2,0
S004,A2,P2,32,0.21875,0.40625,0.75,0.18944199539437637,15.6875,1,3,-2
S005,A2,P2,26,0.2692307692307692,0.6153846153846154,0.8076923076923077,0.27503005848341694,11.961538461538462,1,6,-5
S001,A3,Baseline,21,0.19047619047619047,0.5714285714285714,0.8571428571428571,0.1834676038247467,11.857142857142858,1,4,-3
S002,A3,Baseline,32,0.25,0.59375,0.84375,0.2406024531024531,11.0,1,7,-6
S003,A3,Baseline,43,0.20930232558139536,0.3953488372093023,0.5813953488372093,0.18921124735725015,19.186046511627907,4,5,-1
S004,A3,Baseline,32,0.21875,0.5,0.78125,0.18508255181187513,13.40625,3,3,0
S005,A3,Baseline,26,0.2692307692307692,0.5769230769230769,0.7307692307692307,0.22940510999721525,13.192307692307692,1,6,-5
S001,A3,P2,21,0.23809523809523808,0.47619047619047616,0.8571428571428571,0.16742630385487528,12.523809523809524,1,3,-2
S002,A3,P2,32,0.28125,0.53125,0.875,0.2627044252044252,11.5625,0,6,-6
S003,A3,P2,43,0.23255813953488372,0.3953488372093023,0.627906976744186,0.19352937457914574,19.11627906976744,3,4,-1
S004,A3,P2,32,0.25,0.46875,0.8125,0.21799293818864804,13.84375,3,4,-1
S005,A3,P2,26,0.23076923076923078,0.5,0.7692307692307693,0.21208425289307642,13.038461538461538,1,7,-6
