add_variant,search_variant,eligible_gold_count,top5_recalled_gold,micro_r5,macro_r5,r10,r20,mrr,mean_gold_rank
Old,Baseline,154,50,0.3246753246753247,0.3367359868813357,0.525974025974026,0.7467532467532467,0.2948787273272229,14.571428571428571
Old,P2,154,54,0.35064935064935066,0.3601371496720334,0.525974025974026,0.7597402597402597,0.30458163138396327,14.551948051948052
A1,Baseline,154,37,0.24025974025974026,0.2417268293721782,0.45454545454545453,0.7077922077922078,0.22560181504850635,15.025974025974026
A1,P2,154,37,0.24025974025974026,0.2417268293721782,0.42207792207792205,0.7142857142857143,0.21584218307600841,15.285714285714286
A2,Baseline,154,40,0.2597402597402597,0.2635179742737882,0.5,0.7597402597402597,0.22663006638379196,15.123376623376624
A2,P2,154,39,0.2532467532467532,0.2526279921628759,0.474025974025974,0.7662337662337663,0.2364288995555383,15.097402597402597
A3,Baseline,154,35,0.22727272727272727,0.22755185705767103,0.512987012987013,0.7402597402597403,0.20532637230291423,14.272727272727273
A3,P2,154,38,0.24675324675324675,0.24653452167987053,0.4675324675324675,0.7727272727272727,0.21288695882285738,14.525974025974026
