Model,Micro R@5,Macro R@5,Top5 Gold,R@10,R@20,MRR,Mean Gold Rank
BAAI/bge-small-zh-v1.5,0.38311688311688313,0.39801090382485727,59,0.5454545454545454,0.8181818181818182,0.31992059520313865,11.545454545454545
aspire/acge_text_embedding,0.2792207792207792,0.281954915239799,43,0.487012987012987,0.8116883116883117,0.2691736315385551,13.727272727272727
