comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,Model,extreme_movement
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q039,e0f6fcfc-3a3a-5dbe-8aa0-d690b2179326,S005-Q027,21,24,-3,0.46689894795417786,0.36682572960853577,-0.10007321834564209,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q039,a9136ff5-7fca-58fe-8907-08b361042647,S005-Q032,9,12,-3,0.5086044073104858,0.41924211382865906,-0.08936229348182678,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q042,19b9c9f1-754d-5322-831d-a2b5bbc632f9,S005-Q036,18,5,13,0.5557105541229248,0.6103695631027222,0.05465900897979736,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q044,53a0c2bd-e2e0-5a10-8976-c6a159c1cd78,S005-Q034,16,17,-1,0.5743467211723328,0.5343431830406189,-0.04000353813171387,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q044,009ec1d2-83f6-5755-bd7a-e5a92eda1890,S005-Q040,1,2,-1,0.650495707988739,0.6000461578369141,-0.05044955015182495,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,S005-Q043,1,10,-9,0.6233232617378235,0.49362748861312866,-0.12969577312469482,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q052,009ec1d2-83f6-5755-bd7a-e5a92eda1890,S005-Q040,1,1,0,0.6313807368278503,0.6169006824493408,-0.014480054378509521,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q052,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,26,6,20,0.5303848385810852,0.5701180696487427,0.03973323106765747,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q055,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,24,22,2,0.5050852298736572,0.43141505122184753,-0.07367017865180969,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q055,cc845b3c-bd6e-511e-8bf1-44f5e08cf54a,S005-Q051,7,2,5,0.5447832942008972,0.5063614249229431,-0.0384218692779541,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q056,749bba84-be69-55e2-98a1-a9617e473fb0,S005-Q050,17,3,14,0.5247721672058105,0.47513848543167114,-0.049633681774139404,aspire/acge_text_embedding,
