Checkpoint,Description,Dense R@5,Hybrid R@5,Delta R@5,Dense Gold@5,Hybrid Gold@5,Hybrid Macro R@5,Hybrid R@10,Hybrid R@20,Hybrid MRR,Hybrid Mean Gold Rank,Promoted,Demoted,Net,Rescued Queries,Hurt Queries
C0,C0 — Original Query + Production Summary + Keywords + User,0.3246753246753247,0.2532467532467532,-0.07142857142857145,50,39,0.2523953275406764,0.4675324675324675,0.7207792207792207,0.20649698213001183,14.766233766233766,11,22,-11,7,19
C1,C1 — P2 Query + Production Summary + Keywords + User,0.35064935064935066,0.2727272727272727,-0.07792207792207795,54,42,0.26771498849987224,0.487012987012987,0.7337662337662337,0.20429171014114542,14.753246753246753,11,23,-12,7,19
C2,C2 — P2 Query + Production Summary + Keywords,0.35714285714285715,0.2792207792207792,-0.07792207792207795,55,43,0.27723879802368173,0.512987012987013,0.7337662337662337,0.23263624043681405,15.53896103896104,9,21,-12,7,17
C3,C3 — P2 Query + 最近上文及 eviction 下文 Summary + Keywords,0.38311688311688313,0.2987012987012987,-0.08441558441558444,59,46,0.3106828733282222,0.6038961038961039,0.8246753246753247,0.25507084778359157,12.155844155844155,12,25,-13,8,23
