scheme,chain_name,recall_at_5,mrr,query_embedding_warm_mean_ms,query_embedding_warm_p95_ms,candidate_retrieval_warm_mean_ms,candidate_retrieval_warm_p95_ms,rerank_warm_or_llm_mean_ms,rerank_warm_or_llm_p95_ms,retrieval_total_mean_ms,retrieval_total_p95_conservative_ms,online_llm_calls_per_query,mean_prompt_tokens,cold_model_load_excluded
baseline,Q0 + P0 BGE-small dense Top5 + no rerank,0.3333333333333333,0.3321719286005,11.72238395748926,23.16133319982327,5.9453043716660305,17.62077589955879,0.0,0.0,17.66768832915529,40.78210909938206,0,0,True
best_local,Q0 + P0 rrf60 Top20 + P8 BAAI/bge-reranker-base -> Top5,0.47619047619047616,0.30980983302411874,11.72238395748926,23.16133319982327,99.81939305715579,210.34201995280443,938.1987698862629,1359.840958199129,1049.740546900908,1593.344311351757,0,0,True
best_low_latency,Q0 + P0 rrf60 Top10 + P8 BAAI/bge-reranker-base -> Top5,0.38095238095238093,0.25206423478482304,11.72238395748926,23.16133319982327,92.87524794303214,182.29534544952907,513.5613585428343,632.4619222988986,618.1589904433557,837.918600948251,0,0,True
recommended_pareto,Q0 + P0 rrf60 Top15 + P8 BAAI/bge-reranker-base -> Top5,0.42857142857142855,0.2785879095227835,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.5989020712482,1226.9856543509377,0,0,True
best_deepseek,Q0 + P8 bm25 Top20 + P8 deepseek-v4-flash no-thinking -> Top5,0.47619047619047616,0.29930723301466333,0.0,0.0,43.11983695692366,89.12369019926699,1151.3507229288475,1568.955558149173,1194.470559885771,1658.07924834844,1,4758.857142857143,True
