candidate_representation,candidate_strategy,candidate_k,candidate_k_semantics,candidate_recall,candidate_hits,eligible_gold_count,candidate_recall_at_10,candidate_recall_at_15,candidate_recall_at_20,candidate_recall_at_30,pre_rerank_recall_at_5,pre_rerank_mrr,mean_actual_candidate_count,min_actual_candidate_count,max_actual_candidate_count,retrieval_mean_ms,retrieval_p50_ms,retrieval_p95_ms
P0,dense,10,final deduplicated candidate budget,0.5714285714285714,12,21,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.3321719286005,9.214285714285714,3,10,2.303106071069903,1.138774496212136,7.72070335005992
P0,dense,15,final deduplicated candidate budget,0.7619047619047619,16,21,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.3321719286005,12.785714285714286,3,15,2.303106071069903,1.138774496212136,7.72070335005992
P0,dense,20,final deduplicated candidate budget,0.8571428571428571,18,21,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.3321719286005,16.0,3,20,2.303106071069903,1.138774496212136,7.72070335005992
P0,dense,30,final deduplicated candidate budget,1.0,21,21,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.3321719286005,20.642857142857142,3,30,2.303106071069903,1.138774496212136,7.72070335005992
P0,bm25,10,final deduplicated candidate budget,0.47619047619047616,10,21,0.47619047619047616,0.6666666666666666,0.8571428571428571,1.0,0.19047619047619047,0.20350429645542428,9.214285714285714,3,10,97.83145321385486,84.82741300031194,204.179136602761
P0,bm25,15,final deduplicated candidate budget,0.6666666666666666,14,21,0.47619047619047616,0.6666666666666666,0.8571428571428571,1.0,0.19047619047619047,0.20350429645542428,12.785714285714286,3,15,97.83145321385486,84.82741300031194,204.179136602761
P0,bm25,20,final deduplicated candidate budget,0.8571428571428571,18,21,0.47619047619047616,0.6666666666666666,0.8571428571428571,1.0,0.19047619047619047,0.20350429645542428,16.0,3,20,97.83145321385486,84.82741300031194,204.179136602761
P0,bm25,30,final deduplicated candidate budget,1.0,21,21,0.47619047619047616,0.6666666666666666,0.8571428571428571,1.0,0.19047619047619047,0.20350429645542428,20.642857142857142,3,30,97.83145321385486,84.82741300031194,204.179136602761
P0,union_fixed,10,final deduplicated candidate budget,0.5714285714285714,12,21,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.29471288515406163,9.214285714285714,3,10,100.73321021315807,88.87422249972587,207.66441909654532
P0,union_fixed,15,final deduplicated candidate budget,0.6666666666666666,14,21,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2953798185941043,12.785714285714286,3,15,100.73321021315807,88.87422249972587,207.66441909654532
P0,union_fixed,20,final deduplicated candidate budget,0.8095238095238095,17,21,0.5714285714285714,0.6666666666666666,0.8095238095238095,1.0,0.3333333333333333,0.29434708666075127,16.0,3,20,100.73321021315807,88.87422249972587,207.66441909654532
P0,union_fixed,30,final deduplicated candidate budget,1.0,21,21,0.5714285714285714,0.6666666666666666,0.8095238095238095,1.0,0.3333333333333333,0.29434708666075127,20.642857142857142,3,30,100.73321021315807,88.87422249972587,207.66441909654532
P0,rrf60,10,final deduplicated candidate budget,0.47619047619047616,10,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2780562982768865,9.214285714285714,3,10,100.73321021315807,88.87422249972587,207.66441909654532
P0,rrf60,15,final deduplicated candidate budget,0.6666666666666666,14,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2780562982768865,12.785714285714286,3,15,100.73321021315807,88.87422249972587,207.66441909654532
P0,rrf60,20,final deduplicated candidate budget,0.9047619047619048,19,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2780562982768865,16.0,3,20,100.73321021315807,88.87422249972587,207.66441909654532
P0,rrf60,30,final deduplicated candidate budget,1.0,21,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2780562982768865,20.642857142857142,3,30,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.8,10,final deduplicated candidate budget,0.6190476190476191,13,21,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,0.3333333333333333,0.2930383108954538,9.214285714285714,3,10,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.8,15,final deduplicated candidate budget,0.7619047619047619,16,21,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,0.3333333333333333,0.2930383108954538,12.785714285714286,3,15,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.8,20,final deduplicated candidate budget,0.8095238095238095,17,21,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,0.3333333333333333,0.2930383108954538,16.0,3,20,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.8,30,final deduplicated candidate budget,1.0,21,21,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,0.3333333333333333,0.2930383108954538,20.642857142857142,3,30,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.6,10,final deduplicated candidate budget,0.47619047619047616,10,21,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.27416749916749916,9.214285714285714,3,10,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.6,15,final deduplicated candidate budget,0.7619047619047619,16,21,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.27416749916749916,12.785714285714286,3,15,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.6,20,final deduplicated candidate budget,0.8571428571428571,18,21,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.27416749916749916,16.0,3,20,100.73321021315807,88.87422249972587,207.66441909654532
P0,weighted_dense_0.6,30,final deduplicated candidate budget,1.0,21,21,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,0.3333333333333333,0.27416749916749916,20.642857142857142,3,30,100.73321021315807,88.87422249972587,207.66441909654532
P0,union_expanded,10,per-path K; expanded union actual pool may exceed K,0.6190476190476191,13,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2782474104842526,12.857142857142858,3,18,100.73321021315807,88.87422249972587,207.66441909654532
P0,union_expanded,15,per-path K; expanded union actual pool may exceed K,0.9047619047619048,19,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.27828972498090143,16.928571428571427,3,26,100.73321021315807,88.87422249972587,207.66441909654532
P0,union_expanded,20,per-path K; expanded union actual pool may exceed K,1.0,21,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2780562982768865,19.714285714285715,3,31,100.73321021315807,88.87422249972587,207.66441909654532
P0,union_expanded,30,per-path K; expanded union actual pool may exceed K,1.0,21,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.3333333333333333,0.2780562982768865,22.5,3,40,100.73321021315807,88.87422249972587,207.66441909654532
P8,dense,10,final deduplicated candidate budget,0.6666666666666666,14,21,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,0.3333333333333333,0.38134484563055987,9.214285714285714,3,10,3.661599501875961,1.0636255028657615,10.156505604027187
P8,dense,15,final deduplicated candidate budget,0.8095238095238095,17,21,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,0.3333333333333333,0.38134484563055987,12.785714285714286,3,15,3.661599501875961,1.0636255028657615,10.156505604027187
P8,dense,20,final deduplicated candidate budget,0.8095238095238095,17,21,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,0.3333333333333333,0.38134484563055987,16.0,3,20,3.661599501875961,1.0636255028657615,10.156505604027187
P8,dense,30,final deduplicated candidate budget,1.0,21,21,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,0.3333333333333333,0.38134484563055987,20.642857142857142,3,30,3.661599501875961,1.0636255028657615,10.156505604027187
