variant,candidate_representation,candidate_strategy,candidate_k,rerank_representation,evaluated_query_count,eligible_gold_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,query_embedding_cache_hit,query_rewrite_llm_calls_per_query,mean_rewrite_prompt_tokens,mean_rewrite_latency_ms,status,rerank_llm_calls_per_query,mean_rerank_prompt_tokens,mean_rerank_latency_ms
LQ0,P0,rrf60,20,P8,14,21,0.30980983302411874,0.29763421779057675,9.666666666666666,8,26,0.047619047619047616,0.3333333333333333,0.47619047619047616,0.5238095238095238,0.8095238095238095,0.9047619047619048,1.0,True,0.0,0.0,0.0,AVAILABLE,,,
LQ1,P0,rrf60,20,P8,14,21,0.32441397540081746,0.263060437973785,11.952380952380953,11,32,0.09523809523809523,0.2857142857142857,0.38095238095238093,0.47619047619047616,0.6666666666666666,0.8095238095238095,0.9523809523809523,True,0.0,0.0,0.0,AVAILABLE,,,
LQ2,P0,rrf60,20,P8,14,21,0.1896276989056492,0.22076259811241772,12.619047619047619,10,36,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.7619047619047619,0.9523809523809523,True,0.0,0.0,0.0,AVAILABLE,,,
LQ4,P0,rrf60,20,P8,14,21,0.23966182626896912,0.21304235258106607,11.095238095238095,8,31,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.5714285714285714,0.7619047619047619,0.8571428571428571,0.9523809523809523,True,1.0,221.42857142857142,1067.449986214342,AVAILABLE,,,
LQ4_BEST_QUALITY,P8,bm25,20,P8,14,21,0.33950691428577323,0.293237512793575,11.095238095238095,12,28,0.14285714285714285,0.2857142857142857,0.38095238095238093,0.47619047619047616,0.6666666666666666,0.8095238095238095,1.0,,1.0,,,AVAILABLE,1.0,4742.0,1339.4976307135948
