scheme,chain_name,recall_at_5,absolute_delta_recall_at_5,mrr,ndcg_at_5,candidate_pool_recall,candidate_recall_at_20,candidate_k,warm_mean_ms,warm_p95_ms,llm_mean_ms,llm_p95_ms,mean_prompt_tokens,online_llm_calls_per_query,retrieval_total_mean_ms,retrieval_total_p95_conservative_ms
F0_baseline,Q0 + P0 BGE-small dense Top5 + no rerank,0.3333333333333333,0.0,0.3321719286005,0.2643979623233413,0.3333333333333333,0.8571428571428571,5,,,,,0,0,17.66768832915529,40.78210909938206
F1_best_local,Q0 + P0 rrf60 Top20 + P8 BAAI/bge-reranker-base -> Top5,0.47619047619047616,0.14285714285714285,0.30980983302411874,0.29763421779057675,0.9047619047619048,0.9047619047619048,20,938.1987698862629,1359.840958199129,,,0,0,1049.740546900908,1593.344311351757
F2_best_deepseek,Q0 + P8 bm25 Top20 + P8 deepseek-v4-flash no-thinking -> Top5,0.47619047619047616,0.14285714285714285,0.29930723301466333,0.27690779648726466,0.9047619047619048,0.9047619047619048,20,,,1151.3507229288475,1568.955558149173,4758.857142857143,1,1194.470559885771,1658.07924834844
F3_best_low_latency,Q0 + P0 rrf60 Top10 + P8 BAAI/bge-reranker-base -> Top5,0.38095238095238093,0.047619047619047616,0.25206423478482304,0.2268547784332407,0.47619047619047616,0.9047619047619048,10,513.5613585428343,632.4619222988986,,,0,0,618.1589904433557,837.918600948251
F4_best_quality,Q0 + P0 rrf60 Top20 + P8 BAAI/bge-reranker-base -> Top5,0.47619047619047616,0.14285714285714285,0.30980983302411874,0.29763421779057675,0.9047619047619048,0.9047619047619048,20,938.1987698862629,1359.840958199129,,,0,0,1049.740546900908,1593.344311351757
F5_recommended_pareto,Q0 + P0 rrf60 Top15 + P8 BAAI/bge-reranker-base -> Top5,0.42857142857142855,0.09523809523809523,0.2785879095227835,0.27000187441668094,0.6666666666666666,0.9047619047619048,15,738.3813467855881,1019.6863480512548,,,0,0,842.5989020712482,1226.9856543509377
