candidate_representation,candidate_strategy,candidate_k,rerank_representation,reranker_model,warmup_repeats,measurement_repeats,cold_start_excluded,measurement_count,warm_mean_ms,warm_p50_ms,warm_p90_ms,warm_p95_ms,warm_max_ms
P0,rrf60,10,P8,BAAI/bge-reranker-base,3,5,True,70,513.5613585428343,519.1976464993786,630.2834038979199,632.4619222988986,644.0454820040031
P0,rrf60,15,P8,BAAI/bge-reranker-base,3,5,True,70,738.3813467855881,831.8491095014906,952.6931610016618,1019.6863480512548,1028.4786989941495
P0,rrf60,20,P8,BAAI/bge-reranker-base,3,5,True,70,938.1987698862629,1125.6357505008054,1274.7456871984468,1359.840958199129,1366.7371710034786
P0,rrf60,30,P8,BAAI/bge-reranker-base,3,5,True,70,1244.4457446427675,1357.011659998534,1894.7495635969972,2051.646404902567,2056.523572995502
