baseline,config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,11,5,6,0.7154013514518738,0.7715458869934082,0.056144535541534424
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,7,9,-2,0.7325950860977173,0.753414511680603,0.020819425582885742
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,8,3,5,0.6824973225593567,0.6859176754951477,0.0034203529357910156
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,10,5,5,0.6791412234306335,0.68051677942276,0.0013755559921264648
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,4,-2,0.7513960599899292,0.7946102619171143,0.04321420192718506
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,1,1,0.7454124689102173,0.7638229131698608,0.018410444259643555
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,20,-9,0.7210525870323181,0.7098861932754517,-0.011166393756866455
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,29,-18,0.7214906811714172,0.727476954460144,0.005986273288726807
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,13,15,-2,0.6772738099098206,0.6867307424545288,0.009456932544708252
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,2,1,1,0.7298577427864075,0.739738941192627,0.009881198406219482
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,12,9,3,0.6979053020477295,0.7418780326843262,0.04397273063659668
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,39,31,8,0.6558573842048645,0.7238383293151855,0.06798094511032104
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,8,-4,0.7309869527816772,0.7525932788848877,0.02160632610321045
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,4,3,1,0.67808997631073,0.7226399779319763,0.04455000162124634
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,1,2,-1,0.6072694063186646,0.5972784161567688,-0.009990990161895752
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,15,11,4,0.4818408787250519,0.568000316619873,0.08615943789482117
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,16,17,-1,0.492669016122818,0.5698753595352173,0.07720634341239929
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,12,2,10,0.5007023811340332,0.6160084009170532,0.11530601978302002
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,36,35,1,0.33248934149742126,0.40786978602409363,0.07538044452667236
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,11,2,9,0.6479683518409729,0.6905909776687622,0.04262262582778931
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,24,-23,0.650933027267456,0.6093257069587708,-0.0416073203086853
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,6,17,-11,0.6310549378395081,0.6189762949943542,-0.012078642845153809
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,1,0,0.6374316811561584,0.6624794006347656,0.025047719478607178
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,11,4,7,0.5550165176391602,0.6249976754188538,0.0699811577796936
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,11,53,-42,0.4726150631904602,0.47740548849105835,0.0047904253005981445
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,2,2,0,0.3476473391056061,0.5541847944259644,0.20653745532035828
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,4,3,1,0.4727919101715088,0.6487732529640198,0.175981342792511
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,1,2,-1,0.494103342294693,0.65643310546875,0.162329763174057
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,6,0,0.49814823269844055,0.5340695977210999,0.0359213650226593
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,5,7,-2,0.5069320797920227,0.5146254301071167,0.007693350315093994
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,2,-1,0.6167545914649963,0.6678082942962646,0.05105370283126831
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,7,4,3,0.6651113629341125,0.7456438541412354,0.0805324912071228
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,1,0,0.6499589681625366,0.6635201573371887,0.0135611891746521
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,3,6,-3,0.6119412183761597,0.6321638226509094,0.020222604274749756
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,15,15,0,0.5855612754821777,0.6678715348243713,0.0823102593421936
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,7,4,3,0.6343926787376404,0.7131409645080566,0.07874828577041626
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,6,4,2,0.5726884603500366,0.6760780811309814,0.10338962078094482
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,12,3,9,0.5834260582923889,0.7182896733283997,0.13486361503601074
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,21,11,10,0.54683518409729,0.6794820427894592,0.1326468586921692
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,17,19,-2,0.5243327021598816,0.6383851170539856,0.114052414894104
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,2,29,-27,0.6725355982780457,0.6785324215888977,0.005996823310852051
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,29,12,17,0.5633748769760132,0.7145257592201233,0.1511508822441101
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,6,10,-4,0.5420230627059937,0.5771517753601074,0.03512871265411377
