config,query_id,target_page_id,token,category,corpus_size,document_frequency,target_term_frequency,qdrant_single_token_raw_contribution,effective_idf
H4,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,证据,高区分度任务词,40,6,2,2.7664616107940674,1.841769852569665
H4,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,超过,其它,40,1,1,3.772273302078247,3.3081068606115873
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,上升,其它,51,38,1,0.2972603142261505,0.30058549174679106
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,可,其它,51,23,1,0.7854571342468262,0.794243320230056
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,呈,其它,51,20,1,0.9205217957496643,0.9308188257802447
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,复算,其它,51,16,1,1.1351851224899292,1.147883393568918
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,归母,金融词,51,51,7,0.018091246485710144,0.00966191139297451
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,总资产,金融词,51,20,2,1.2701082229614258,0.9308188370513645
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,指标,其它,51,22,1,0.8284611701965332,0.8377284027466719
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,检查,其它,51,14,1,1.2629674673080444,1.2770951218606734
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,用,其它,51,2,1,3.0013792514801025,3.034952918533236
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,的,模板/功能词,51,49,2,0.06723065674304962,0.049271046822964716
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,结论,其它,51,48,2,0.09507869184017181,0.06967991842512591
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,股东权益,金融词,51,36,2,0.48294171690940857,0.35393145180106245
H4,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,连续,其它,51,50,2,0.039939623326063156,0.0292703826843618
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,2024,其它,51,51,6,0.017601773142814636,0.009661910808063112
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,与,模板/功能词,51,38,4,0.50425124168396,0.3005854902598499
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,保留,其它,51,51,1,0.009465278126299381,0.009661911212374847
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,信息,其它,51,29,1,0.555317223072052,0.5668534650996496
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,修订,高区分度任务词,51,5,1,2.2007763385772705,2.246495591349561
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,判断,其它,51,15,2,1.6408698558807373,1.210403731579638
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,在,模板/功能词,51,8,1,1.7743176221847534,1.8111775585831225
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,年,其它,51,51,18,0.019880369305610657,0.009661911254321845
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,的,模板/功能词,51,47,2,0.12270426750183105,0.09051400556398385
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,计算,其它,51,39,1,0.26934757828712463,0.2749430446684445
H4,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,重新,其它,51,1,1,3.4736170768737793,3.545778511176732
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,三年,其它,52,52,2,0.013163428753614426,0.009478743840604278
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,事实,其它,52,29,1,0.5944511294364929,0.5859016724967989
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,净利润,金融词,52,48,4,0.15107451379299164,0.08872811132790626
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,和,模板/功能词,52,36,5,0.665132462978363,0.3729796421481296
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,归母,金融词,52,52,5,0.016903389245271683,0.009478743592758705
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,扣,其它,52,20,1,0.9637274742126465,0.9498670471154829
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,披露,其它,52,52,2,0.013163428753614426,0.009478743840604278
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,的,模板/功能词,52,50,4,0.08227049559354782,0.04831857808941012
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,股东权益,金融词,52,37,2,0.48043298721313477,0.34595099070363416
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,计算,其它,52,16,1,1.1839593648910522,1.1669315402184357
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,证据,高区分度任务词,52,16,1,1.1839593648910522,1.1669315402184357
H4,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,非归母,其它,52,20,1,0.9637274742126465,0.9498670471154829
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,一轮,其它,52,16,1,1.2861366271972656,1.1669314923611553
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,上,其它,52,16,1,1.2861366271972656,1.1669314923611553
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,事实,其它,52,51,2,0.04216305539011955,0.028710106076191132
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,分析,其它,52,52,1,0.010447022505104542,0.009478743785703871
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,总资产,金融词,52,39,3,0.48555973172187805,0.2939912438159808
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,披露,其它,52,52,1,0.010447022505104542,0.009478743785703871
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,的,模板/功能词,52,42,3,0.3646560311317444,0.22078783134929833
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,计算,其它,52,51,3,0.047417979687452316,0.02871010488888714
H4,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,还是,其它,52,27,1,0.7231288552284241,0.6561059038027782
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,与,模板/功能词,60,37,1,0.5287829637527466,0.48653290450403636
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,事实,其它,60,38,1,0.5001803040504456,0.46021561356346036
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,判断,其它,60,24,1,0.9914153814315796,0.9122007291510024
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,原因,其它,60,60,1,0.008945227600634098,0.00823049883282775
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,在,模板/功能词,60,34,1,0.6194053888320923,0.5699145463295281
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,的,模板/功能词,60,58,3,0.06863218545913696,0.041847110239111564
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,确认,其它,60,59,1,0.027059631422162056,0.024897551496740725
H4,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,说明,模板/功能词,60,15,1,1.4890062808990479,1.370033833028918
