Retrieval,Eligible Gold,Gold@5,Micro R@5,Macro R@5,R@10,R@20,MRR,Mean Gold Rank
C3,154,59,0.38311688311688313,0.39801090382485727,0.5454545454545454,0.8181818181818182,0.31992059520313865,11.545454545454545
Field-aware V1,154,52,0.33766233766233766,0.34018868728171053,0.5584415584415584,0.7662337662337663,0.30967923089224775,12.331168831168831
V2-Global,154,46,0.2987012987012987,0.3058102265951103,0.512987012987013,0.7142857142857143,0.24224606073677643,14.512987012987013
V2-Field-Rerank,154,44,0.2857142857142857,0.2888267740011926,0.4675324675324675,0.7142857142857143,0.2611303831852775,14.668831168831169
