session_id,eligible_gold_count,baseline_r5,old_rewrite_only_r5,reference_resolution_only_r5,ref_vs_baseline_r5,old_vs_baseline_r5,ref_vs_old_r5,baseline_r10,old_rewrite_only_r10,reference_resolution_only_r10,baseline_r20,old_rewrite_only_r20,reference_resolution_only_r20,baseline_mrr,old_rewrite_only_mrr,reference_resolution_only_mrr,baseline_mean_gold_rank,old_rewrite_only_mean_gold_rank,reference_resolution_only_mean_gold_rank,old_promoted_gold,old_demoted_gold,old_net_gold_gain,ref_promoted_gold,ref_demoted_gold,ref_net_gold_gain,old_rescued_queries,old_hurt_queries,ref_rescued_queries,ref_hurt_queries,baseline_macro_session_r5,old_rewrite_only_macro_session_r5,reference_resolution_only_macro_session_r5
S001,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.3321719286005,0.23084845049130762,0.36788621431478574,10.238095238095237,11.80952380952381,10.380952380952381,3,3,0,0,0,0,1,2,0,0,,,
S002,32,0.4375,0.28125,0.4375,0.0,-0.15625,0.15625,0.6875,0.5,0.6875,0.90625,0.6875,0.875,0.30921758119900533,0.3010804706042801,0.31116266129053854,9.78125,15.5,9.875,3,8,-5,0,0,0,2,6,0,0,,,
S003,43,0.23255813953488372,0.32558139534883723,0.23255813953488372,0.0,0.09302325581395351,-0.09302325581395351,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.5813953488372093,0.4883720930232558,0.5813953488372093,0.251890510659486,0.3117695691683296,0.24770095021992555,20.58139534883721,20.25581395348837,20.86046511627907,6,2,4,0,0,0,4,0,0,0,,,
S004,32,0.21875,0.1875,0.3125,0.09375,-0.03125,0.125,0.4375,0.40625,0.4375,0.6875,0.625,0.6875,0.23194041924156755,0.1734226239897197,0.23194041924156755,16.84375,16.375,16.625,2,3,-1,3,0,3,1,2,1,0,,,
S005,26,0.46153846153846156,0.34615384615384615,0.46153846153846156,0.0,-0.11538461538461542,0.11538461538461542,0.5769230769230769,0.5384615384615384,0.5769230769230769,0.8076923076923077,0.6153846153846154,0.8076923076923077,0.38994798344643544,0.2805270205086164,0.38994798344643544,11.23076923076923,15.576923076923077,11.192307692307692,3,6,-3,0,0,0,1,5,0,0,,,
Aggregate,154,0.3246753246753247,0.2922077922077922,0.34415584415584416,0.019480519480519487,-0.03246753246753248,0.051948051948051965,0.525974025974026,0.461038961038961,0.5194805194805194,0.7467532467532467,0.6233766233766234,0.7337662337662337,0.2948787273272229,0.26334759030682175,0.2992415365241282,14.571428571428571,16.51948051948052,14.636363636363637,17,22,-5,3,0,3,9,15,1,0,0.3367359868813357,0.2947637149672033,0.3554859868813357
