Model,Type,Micro R@5,Gold@5,Macro R@5,R@10,R@20,MRR,Mean Gold Rank
BAAI/bge-small-zh-v1.5,基线,0.38311688311688313,59,0.39801090382485727,0.5454545454545454,0.8181818181818182,0.31992059520313865,11.545454545454545
qcsun/financial-embedding,金融,0.34415584415584416,53,0.3478048598688134,0.525974025974026,0.7662337662337663,0.3124315791626955,13.12987012987013
BalyasnyAI/multilingual-e5-base,金融,0.35714285714285715,55,0.3634221398756282,0.5454545454545454,0.8441558441558441,0.2999089544676216,11.733766233766234
Alibaba-NLP/gte-multilingual-base,通用,0.3246753246753247,50,0.32449527216969076,0.5974025974025974,0.8116883116883117,0.2564163797437579,12.974025974025974
