representation,pair_count,mean,median,p75,p90,p95,max
user_input,1081,0.5817446820601516,0.5809772092920947,0.6360415546016962,0.6746663429890005,0.698044004550325,0.8311422139298642
summary,1081,0.8614127483272295,0.8635247578483765,0.8913983211645548,0.9132987179441548,0.9223397386709973,0.9558289873469401
raw_dialogue,1081,0.8281849196995239,0.8347993232891358,0.863648244410185,0.8828985286640986,0.8954800942453579,0.9461226144943664
current,1081,0.8579516799982256,0.8601288089818427,0.8898509759698018,0.9105393133439553,0.9188854666483822,0.9514265037785569
current_regenerated,1081,0.9056413606543382,0.9114283999101245,0.9300617408758786,0.9419473965129842,0.9488766962130957,0.9650246421602918
retrieval_focused,1081,0.7686659572199868,0.7706171145256661,0.8087679783666417,0.8384662042702005,0.8600483484059367,0.9333205162182424
minimal,1081,0.7905965706699383,0.7890734923785505,0.8357144108330048,0.8723931565509623,0.8929639976947792,0.9424604525357622
