Model,Type,Status,Native Max Length,Used Max Length,Page Mean,Page Median,Page P90,Page Max,Page Truncated,Page Truncated Rate,Summary Truncated,Keywords Fully Kept,Keywords Partial,Keywords Fully Lost,Query Mean,Query Median,Query P90,Query Max,Query Truncated,Query Truncated Rate
BAAI/bge-small-zh-v1.5,基线,COMPLETED,512,512,499.9159159159159,480,624.4000000000001,695,138,0.4144144144144144,97,195,40,98,61.44444444444444,55,85.00000000000001,115,0,0.0
qcsun/financial-embedding,金融,COMPLETED,8192,1024,377.2522522522523,363,465.8,524,0,0.0,0,333,0,0,43.07070707070707,39,60.2,83,0,0.0
BalyasnyAI/multilingual-e5-base,金融,COMPLETED,512,512,371.7117117117117,360,462.6,517,1,0.003003003003003003,0,332,1,0,46.07070707070707,42,63.2,86,0,0.0
Alibaba-NLP/gte-multilingual-base,通用,COMPLETED,8192,1024,369.7117117117117,358,460.6,515,0,0.0,0,333,0,0,43.07070707070707,39,60.2,83,0,0.0
google/embeddinggemma-300m,通用,BLOCKED_GATED_REPOSITORY,2048,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE
