Model,BGE-small truncated eligible Gold,Promoted,Demoted,Net
qcsun/financial-embedding,66,8,17,-9
BalyasnyAI/multilingual-e5-base,66,6,11,-5
Alibaba-NLP/gte-multilingual-base,66,5,10,-5
