Model,Type,Status,Stage,Device,Tokenizer Audit,Page Embeddings,Query Embeddings,Reason
qcsun/financial-embedding,金融,COMPLETED,complete,cuda:0,PASS,333,99,
BalyasnyAI/multilingual-e5-base,金融,COMPLETED,complete,cuda:0,PASS,333,99,
Alibaba-NLP/gte-multilingual-base,通用,COMPLETED,complete,cuda:0,PASS,333,99,
google/embeddinggemma-300m,通用,BLOCKED_GATED_REPOSITORY,tokenizer_load,,NOT_POSSIBLE_GATED_REPOSITORY,0,0,"You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/google/embeddinggemma-300m.
401 Client Error. (Request ID: Root=1-6a7a961a-7667426e451438f85bfa1528;b44ceae2-d81a-4a31-8e28-1e5e11d0a509)

Cannot access gated repo for url https://huggingface.co/google/embeddinggemma-300m/resolve/main/config.json.
Access to model google/embeddinggemma-300m is restricted. You must have access to it and be authenticated to access it. Please log in."
