Model,kind,session_id,item_id,source_turn_id,token_count,max_length,truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_status
Alibaba-NLP/gte-multilingual-base,Page,S001,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,355,1024,False,321,321,False,32,32,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,adb63a6d-b7bd-5396-8e59-1cb9403d2c73,S001-Q033,414,1024,False,374,374,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,343,1024,False,303,303,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,S001-Q035,321,1024,False,282,282,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,303,1024,False,263,263,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,ec485c25-9d3b-5229-9578-6632bd7bacad,S001-Q037,329,1024,False,289,289,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,5fcaa70b-2b7a-509b-bb78-82c6345a84eb,S001-Q038,323,1024,False,283,283,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,e2db6251-93c2-54d2-b811-75ba0665e53c,S001-Q039,350,1024,False,307,307,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,432,1024,False,390,390,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,dd3a6ec2-247a-56ab-b2c6-395632758f90,S001-Q041,299,1024,False,259,259,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,7b17127a-2e14-5b97-afa8-efd13a4368fd,S001-Q042,346,1024,False,304,304,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,353,1024,False,311,311,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,989a0de5-bebd-56a4-97a0-84ff3f9ae051,S001-Q044,337,1024,False,297,297,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,dc5bd854-533a-501d-bb9c-f3d1b7c06fde,S001-Q045,435,1024,False,393,393,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,cf78bbdc-fc14-56f3-b099-3b40129e0af9,S001-Q046,346,1024,False,306,306,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,9f8ff8ed-0916-5409-aa52-750fa5f30a1c,S001-Q047,361,1024,False,320,320,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,309,1024,False,270,270,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,ceb187fe-1602-54a0-9ed7-224c7816f53e,S002-Q002,372,1024,False,330,330,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,5d1eccd0-c642-585e-9c32-5450ef208a4b,S002-Q003,333,1024,False,295,295,False,36,36,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,37f703bf-173c-56df-b339-f52774261c6e,S002-Q004,325,1024,False,283,283,False,40,40,FULLY_KEPT
