Dense Weight,H1 Gold@5,H5 Gold@5,H1 minus H5 Gold,H1 R@5,H5 R@5
0.8,58,55,3,0.37662337662337664,0.35714285714285715
0.9,59,56,3,0.38311688311688313,0.36363636363636365
0.95,57,59,-2,0.37012987012987014,0.38311688311688313
