add_variant,rank,keyword,count
Add-New,1,连续上升,249
Add-New,2,先升后降,194
Add-New,3,归母净利润,170
Add-New,4,总资产,165
Add-New,5,归母股东权益,164
Add-New,6,营业收入,129
Add-New,7,同比,69
Add-New,8,扣非归母净利润,65
Add-New,9,同步性,50
Add-New,10,信息缺口,41
Add-New,11,2024年拐点,38
Add-New,12,方向不同,37
Add-New,13,拐点,35
Add-New,14,连续下降,35
Add-New,15,先降后升,32
Add-New,16,经营活动现金流净额,32
Add-New,17,贵州茅台,31
Add-New,18,2023-2025,28
Add-New,19,反证,27
Add-New,20,比亚迪,21
