session_id,add_variant,page_count,pair_count,pairwise_cosine_mean,pairwise_cosine_median,pairwise_cosine_p75,pairwise_cosine_p90,pairwise_cosine_p95,nearest_neighbor_cosine_mean,nearest_neighbor_cosine_median,nearest_neighbor_cosine_p90,keyword_jaccard_mean,keyword_jaccard_median,keyword_jaccard_p90,summary_token_jaccard_mean,summary_token_jaccard_median,summary_token_jaccard_p90
S001,Add-Old,47,1081,0.8597845108587019,0.8652523728781679,0.8878945093259497,0.9067220380262457,0.9154742559695006,0.9198956932896611,0.9220687780596504,0.9401698689057774,0.365766436256723,0.3333333333333333,0.45454545454545453,0.44605606685608734,0.4430379746835443,0.5253164556962026
S001,Add-New,47,1081,0.8018165587939522,0.8069352054978741,0.8460167660438039,0.8812843587977096,0.8994059542978953,0.9121236340064243,0.915877385505775,0.9529174953432954,0.29494074637460393,0.2727272727272727,0.5,0.3169693233334111,0.3111111111111111,0.4367816091954023
S002,Add-Old,70,2415,0.8642197368193223,0.8691704529542857,0.8948030527126376,0.9145456386514891,0.9259616707259282,0.9285392437305177,0.9322102328179389,0.9543316576300026,0.4106720516658405,0.45454545454545453,0.6,0.4415715179464648,0.44,0.5206452135851504
S002,Add-New,70,2415,0.7975580511723851,0.8014055494564328,0.859086657258755,0.9059197371431061,0.9249550189609801,0.9312870235838655,0.9381013679101873,0.9631492034971678,0.26385168201938386,0.2727272727272727,0.5,0.34201264592006336,0.32231404958677684,0.4931506849315068
S003,Add-Old,90,4005,0.8793093427188572,0.8845822069111298,0.9042731799989847,0.9201527813430891,0.9288849995395221,0.9363703900570637,0.9390556543890954,0.9556731889117679,0.3075028675028675,0.3333333333333333,0.45454545454545453,0.4281086301977217,0.42934782608695654,0.517948717948718
S003,Add-New,90,4005,0.7652575875687928,0.7640714038552554,0.8152624466997632,0.8624033136940228,0.889944993832438,0.924424991329203,0.9330194689031585,0.9639572673363164,0.2244750775649652,0.2,0.4444444444444444,0.3002139610948053,0.2892561983471074,0.42637415621986496
S004,Add-Old,71,2485,0.8876643901461535,0.8894102045597795,0.9127227196060141,0.9292187724809485,0.9391174424804138,0.9398735705670327,0.9444085923820481,0.9626554841581889,0.2943844798170754,0.25,0.45454545454545453,0.43445473998695283,0.4318181818181818,0.5217391304347826
S004,Add-New,71,2485,0.7593962875110456,0.7520546606833326,0.8141593838385023,0.8713930711806159,0.8990039624703293,0.9334139482686385,0.9407725174181345,0.9690794607833991,0.23322677434347455,0.2,0.4444444444444444,0.31305779434695097,0.2857142857142857,0.4634146341463415
S005,Add-Old,55,1485,0.8545327429739246,0.8575646015215118,0.8836784547050469,0.9058424050290753,0.9165950809677836,0.9151050063844948,0.9170066492764162,0.9377207939688635,0.38555878838707125,0.45454545454545453,0.6,0.4424380185675599,0.4419889502762431,0.5217391304347826
S005,Add-New,55,1485,0.7933040223235659,0.7959982943036931,0.8382856928183218,0.8766397752339762,0.8962585105534655,0.9131810942693522,0.9155904591328963,0.9389282813592635,0.27308442773089237,0.2727272727272727,0.4444444444444444,0.2974415014160344,0.2857142857142857,0.4308674950644526
