add_variant,rank,keyword,count
Add-Old,1,2023-2025,317
Add-Old,2,同比,237
Add-Old,3,归母净利润,204
Add-Old,4,总资产,169
Add-Old,5,比亚迪,161
Add-Old,6,营业收入,156
Add-Old,7,归母股东权益,145
Add-Old,8,贵州茅台,117
Add-Old,9,年报,81
Add-Old,10,先升后降,78
Add-Old,11,年度报告,76
Add-Old,12,扣非归母净利润,61
Add-Old,13,宁德时代,55
Add-Old,14,连续上升,41
Add-Old,15,经营现金流,34
Add-Old,16,反证,28
Add-Old,17,经营活动现金流净额,20
Add-Old,18,财务分析,18
Add-Old,19,经营活动现金流,17
Add-Old,20,风险排序,17
