Add 方式,Formatter,Query 检索方式,Eligible Gold,Top5 recalled Gold,Top5,Macro Top5,Top10,Top20,MRR,Mean Gold Rank
原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,上下文引用解析后检索（P2）,154,54,0.35064935064935066,0.3601371496720334,0.525974025974026,0.7597402597402597,0.30458163138396327,14.551948051948052
原 Production Add（仅当前 User + Assistant）,Summary + Keywords,上下文引用解析后检索（P2）,154,55,0.35714285714285715,0.3617471675611211,0.5454545454545454,0.7532467532467533,0.3002948982291115,14.792207792207792
Production Add + 最近上文,Summary + Keywords + User,上下文引用解析后检索（P2）,154,45,0.2922077922077922,0.30076986966521846,0.5324675324675324,0.8051948051948052,0.2882442391801166,13.324675324675324
Production Add + 最近上文,Summary + Keywords,上下文引用解析后检索（P2）,154,45,0.2922077922077922,0.2977287247636085,0.5324675324675324,0.7987012987012987,0.29051448474886576,13.071428571428571
Production Add + 最近上文及下文,Summary + Keywords + User,上下文引用解析后检索（P2）,154,57,0.37012987012987014,0.3919823877672715,0.577922077922078,0.8441558441558441,0.3121372054153158,11.454545454545455
Production Add + 最近上文及下文,Summary + Keywords,上下文引用解析后检索（P2）,154,59,0.38311688311688313,0.39801090382485727,0.5454545454545454,0.8181818181818182,0.31992059520313865,11.545454545454545
