Comparison,Promoted Gold,Demoted Gold,Net Gold gain,Rescued Queries,Hurt Queries,Mean Gold rank improvement,Median Gold rank improvement,Top5 rankings identical query count,Top5 rankings identical all queries
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,6,5,1,3,5,-0.24025974025974026,0.0,9,False
Production Add + 最近上文：去除 User vs 原始 formatter,4,4,0,3,4,0.2532467532467532,0.0,24,False
Production Add + 最近上文及下文：去除 User vs 原始 formatter,5,3,2,5,3,-0.09090909090909091,0.0,27,False
去除 User 后：Production Add + 最近上文及下文 vs 原 Production Add,18,14,4,17,11,3.2467532467532467,1.0,3,False
