strategy,screening_scope,query_variant,page_variant,embedding,status,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,eligible_gold_count
H0_dense,front,Q0,P8,E1,AVAILABLE,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.2791420515574651,0.2607127249799531,10.857142857142858,8,21
H1_bm25,front,Q0,P8,E1,AVAILABLE,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.21080562607818248,0.15294881699361715,10.80952380952381,8,21
H2_rrf,front,Q0,P8,E1,AVAILABLE,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.8095238095238095,1.0,0.23793117581480752,0.20687597939185257,10.904761904761905,8,21
H3_dense_0.8_bm25_0.2,front,Q0,P8,E1,AVAILABLE,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.27788072125401886,0.2587934099940035,10.904761904761905,8,21
H4_dense_0.6_bm25_0.4,front,Q0,P8,E1,AVAILABLE,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.2573069077502716,0.23499969659200692,10.666666666666666,8,21
H0_dense,hybrid_only,Q0,P0,E0,AVAILABLE,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3321719286005,0.2643979623233413,10.238095238095237,7,21
H1_bm25,hybrid_only,Q0,P0,E0,AVAILABLE,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.47619047619047616,0.6666666666666666,0.8571428571428571,1.0,0.20350429645542428,0.13217123908725575,12.238095238095237,12,21
H2_rrf,hybrid_only,Q0,P0,E0,AVAILABLE,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,0.2780562982768865,0.22937206888737643,11.142857142857142,11,21
H3_dense_0.8_bm25_0.2,hybrid_only,Q0,P0,E0,AVAILABLE,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,0.2930383108954538,0.23250233680443724,10.095238095238095,9,21
H4_dense_0.6_bm25_0.4,hybrid_only,Q0,P0,E0,AVAILABLE,0.047619047619047616,0.23809523809523808,0.3333333333333333,0.47619047619047616,0.7619047619047619,0.8571428571428571,1.0,0.27416749916749916,0.22441664862927407,10.666666666666666,11,21
