embedding,model,query_variant,page_variant,screening_scope,status,dimension,page_encoding_ms,query_encoding_p50_ms,query_encoding_p95_ms,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,eligible_gold_count
E0,BAAI/bge-small-zh-v1.5,Q5,P8,required,AVAILABLE,512,500.765233002312,11.77957649997552,84.72617900224577,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.6190476190476191,0.7619047619047619,0.8095238095238095,1.0,0.26794726437583577,0.2381935601091365,10.714285714285714,8,21
E0,BAAI/bge-small-zh-v1.5,Q5,P0,required,AVAILABLE,512,0.0,11.77957649997552,84.72617900224577,0.0,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.7142857142857143,0.8095238095238095,1.0,0.217947851655282,0.21515868601907803,11.095238095238095,9,21
E0,BAAI/bge-small-zh-v1.5,Q0,P8,required,AVAILABLE,512,500.765233002312,11.77957649997552,84.72617900224577,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,0.38134484563055987,0.27998005636772766,9.428571428571429,7,21
E0,BAAI/bge-small-zh-v1.5,Q0,P0,required,AVAILABLE,512,0.0,11.77957649997552,84.72617900224577,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3321719286005,0.2643979623233413,10.238095238095237,7,21
E0,BAAI/bge-small-zh-v1.5,Q0,P0,embedding_only,AVAILABLE,512,0.0,11.77957649997552,84.72617900224577,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3321719286005,0.2643979623233413,10.238095238095237,7,21
E0,BAAI/bge-small-zh-v1.5,Q0,P8,c2_auxiliary,AVAILABLE,512,500.765233002312,11.77957649997552,84.72617900224577,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,0.38134484563055987,0.27998005636772766,9.428571428571429,7,21
E1,BAAI/bge-base-zh-v1.5,Q5,P8,required,AVAILABLE,768,2946.41987200157,80.35280499825603,177.98463750004882,0.0,0.19047619047619047,0.3333333333333333,0.5238095238095238,0.7619047619047619,0.9047619047619048,1.0,0.2078719526087947,0.20241193296000873,11.047619047619047,8,21
E1,BAAI/bge-base-zh-v1.5,Q5,P0,required,AVAILABLE,768,2951.4448690024437,80.35280499825603,177.98463750004882,0.0,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.2154545151393891,0.22069215107880044,11.238095238095237,8,21
E1,BAAI/bge-base-zh-v1.5,Q0,P8,required,AVAILABLE,768,2946.41987200157,80.35280499825603,177.98463750004882,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.2791420515574651,0.2607127249799531,10.857142857142858,8,21
E1,BAAI/bge-base-zh-v1.5,Q0,P0,required,AVAILABLE,768,2951.4448690024437,80.35280499825603,177.98463750004882,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.7142857142857143,0.8095238095238095,1.0,0.2609054054866863,0.25136059972484903,11.142857142857142,8,21
