scheme,details,status,candidate_recall_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,eligible_gold_count,retrieval_mean_ms,retrieval_p95_ms,online_llm_calls_per_query,mean_prompt_tokens,mean_completion_tokens,absolute_delta_recall_at_5,relative_delta_recall_at_5,delta_mrr,delta_mean_gold_rank,delta_retrieval_mean_ms
C0_baseline,Q0 + P0 + E0 + dense top5 + no rerank,AVAILABLE,0.8571428571428571,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,0.3321719286005,0.2643979623233413,10.238095238095237,7,21,46.02411114215751,173.95395100138543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_best_query_only,Q5 + P0 + E0 + dense top5,AVAILABLE,0.8095238095238095,0.0,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.7142857142857143,0.8095238095238095,1.0,0.217947851655282,0.21515868601907803,11.095238095238095,9,21,1396.8716263563172,1805.1114222987962,1.0,17257.928571428572,45.5,0.047619047619047616,0.14285714285714285,-0.114224076945218,0.8571428571428577,1350.8475152141596
C2_best_representation_embedding_only,Q0 + P8 + E1 + dense top5,AVAILABLE,0.8571428571428571,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.2791420515574651,0.2607127249799531,10.857142857142858,8,21,37.66488735709572,51.27559384964115,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,-0.05302987704303491,0.6190476190476204,-8.359223785061786
C3_candidate_expansion_rerank_only,Q0 + P0 + E0 + dense candidate20 + BAAI/bge-reranker-base -> top5,AVAILABLE,0.8571428571428571,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.24290732415732413,0.20105133323515972,11.476190476190476,12,21,1083.2761797859607,1425.5263447044854,0.0,0.0,0.0,-0.047619047619047616,-0.14285714285714285,-0.08926460444317585,1.238095238095239,1037.252068643803
C4_best_no_online_llm,Q0 + P8 + E1 + H1_bm25 + local_cross_encoder,AVAILABLE,0.9047619047619048,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.8095238095238095,0.9047619047619048,1.0,0.3061712723366859,0.28069152402134134,9.571428571428571,8,21,1028.838413858466,1409.4366886005446,0.0,0.0,0.0,0.09523809523809523,0.2857142857142857,-0.026000656263814093,-0.6666666666666661,982.8143027163086
C5_best_quality,Q0 + P8 + E1 + H1_bm25 + R2_llm_no_thinking,AVAILABLE,0.9047619047619048,0.09523809523809523,0.23809523809523808,0.47619047619047616,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.29930723301466333,0.27690779648726466,10.142857142857142,8,21,1263.9268443589183,1709.0480191051026,1.0,4758.857142857143,53.0,0.14285714285714285,0.42857142857142855,-0.032864695585836656,-0.0952380952380949,1217.9027332167607
C6_best_practical,Low-latency Pareto selection of C2_best_representation_embedding_only under p95<=217.4 ms: Q0 + P8 + E1 + dense top5,AVAILABLE,0.8571428571428571,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.2791420515574651,0.2607127249799531,10.857142857142858,8,21,37.66488735709572,51.27559384964115,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,-0.05302987704303491,0.6190476190476204,-8.359223785061786
