reranker,status,candidate_k,output_k,candidate_recall_at_20,rerank_p50_ms,rerank_p95_ms,mean_prompt_tokens,mean_completion_tokens,mean_retry_count,failure_rate,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,eligible_gold_count,model
R0_no_rerank,AVAILABLE,20,5,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.21080562607818248,0.15294881699361715,10.80952380952381,8,21,
R1_local_cross_encoder,AVAILABLE,20,5,0.9047619047619048,1113.1083945037972,1427.3909047031339,0.0,0.0,0.0,0.0,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.8095238095238095,0.9047619047619048,1.0,0.3061712723366859,0.28069152402134134,9.571428571428571,8,21,BAAI/bge-reranker-base
R2_llm_no_thinking,AVAILABLE,20,5,0.9047619047619048,1113.8381965029112,1568.955558149173,4758.857142857143,53.0,0.0,0.0,0.09523809523809523,0.23809523809523808,0.47619047619047616,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.29930723301466333,0.27690779648726466,10.142857142857142,8,21,deepseek-v4-flash
