add_variant,page_count,summary_length_chars_mean,summary_length_chars_median,summary_length_chars_p90,keyword_count_mean,indicator_count_mean,numeric_token_count_mean,percentage_count_mean,year_count_mean,state_relation_count_mean,task_term_count_mean,dependency_term_count_mean,unique_summary_count,exact_duplicate_page_count,duplicate_group_count,largest_duplicate_group_size,normalized_unique_count,normalized_duplicate_group_count,largest_normalized_duplicate_group,cross_task_collision_page_count,cross_task_collision_rate,task_explicit_rate,task_partial_rate,task_missing_rate,task_keyword_coverage,dependency_preservation_rate,dependency_keyword_coverage,task_result_bound_rate
Old,333,411.8498498498499,393,570.6,7.987987987987988,3.948948948948949,32.291291291291294,5.414414414414415,15.042042042042041,8.036036036036036,7.222222222222222,0.972972972972973,333,0,0,1,333,0,1,0,0.0,0.9369369369369369,0.06306306306306306,0.0,1.0,0.513677811550152,0.1762917933130699,0.924924924924925
A1,333,146.67567567567568,138,218.8,7.897897897897898,2.6276276276276276,7.063063063063063,1.6546546546546546,4.084084084084084,6.2792792792792795,6.60960960960961,1.2432432432432432,332,2,1,2,332,1,2,0,0.0,0.933933933933934,0.06606606606606606,0.0,1.0,0.6443768996960486,0.45592705167173253,0.8888888888888888
A2,333,147.52252252252254,130,224.8,7.7807807807807805,2.6576576576576576,6.06006006006006,1.7807807807807807,3.1681681681681684,5.858858858858859,6.93993993993994,3.4384384384384385,333,0,0,1,333,0,1,0,0.0,0.9429429429429429,0.057057057057057055,0.0,1.0,0.9969604863221885,0.9756838905775076,0.9039039039039038
A3,333,173.46546546546546,170,226.0,7.597597597597598,2.5195195195195197,10.252252252252251,2.8618618618618616,6.114114114114114,6.891891891891892,6.636636636636637,1.3003003003003002,333,0,0,1,333,0,1,0,0.0,0.93993993993994,0.06006006006006006,0.0,1.0,0.6139817629179332,0.3860182370820669,0.9159159159159159
