session_id,query_id,gold_page_id,baseline_rank,baseline_score,P0_rank,P0_score,P0_promoted,P0_demoted,P0_rank_movement,P2_rank,P2_score,P2_promoted,P2_demoted,P2_rank_movement,P4_rank,P4_score,P4_promoted,P4_demoted,P4_rank_movement
S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,33,0.38522157073020935,33,0.38522157073020935,False,False,0,33,0.38522157073020935,False,False,0,33,0.38522157073020935,False,False,0
S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,6,0.4341575503349304,6,0.43415749073028564,False,False,0,4,0.4304228127002716,True,False,2,6,0.43415749073028564,False,False,0
S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,39,0.34592118859291077,39,0.345921128988266,False,False,0,40,0.3276005983352661,False,False,-1,39,0.345921128988266,False,False,0
S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,6,0.4145900309085846,6,0.41459009051322937,False,False,0,6,0.41459009051322937,False,False,0,6,0.41459009051322937,False,False,0
S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,7,0.447327196598053,7,0.4473271667957306,False,False,0,3,0.6059979200363159,True,False,4,7,0.4473271667957306,False,False,0
S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,67,0.32590147852897644,67,0.32590144872665405,False,False,0,70,0.4838414788246155,False,False,-3,67,0.32590144872665405,False,False,0
S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,26,0.41176116466522217,26,0.4117611348628998,False,False,0,13,0.5801041126251221,False,False,13,26,0.4117611348628998,False,False,0
S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,8,0.5034886598587036,8,0.5034887790679932,False,False,0,8,0.5034887790679932,False,False,0,8,0.5034887790679932,False,False,0
S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,70,0.4027944505214691,70,0.4027945399284363,False,False,0,70,0.4027945399284363,False,False,0,70,0.4027945399284363,False,False,0
S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,68,0.457669198513031,68,0.45766910910606384,False,False,0,65,0.591045081615448,False,False,3,68,0.45766910910606384,False,False,0
S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,75,0.34470492601394653,75,0.3447049856185913,False,False,0,77,0.46810898184776306,False,False,-2,74,0.44279077649116516,False,False,1
