Model,Session,Eligible Gold,R@5,R@10,R@20,MRR,Mean Gold Rank
C3 BGE-small Dense,S001,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
C3 BGE-small Dense,S002,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
C3 BGE-small Dense,S003,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
C3 BGE-small Dense,S004,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
C3 BGE-small Dense,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
