config,label,gold_at_5,eligible_gold_count,micro_r_at_5,r_at_10,r_at_20,mrr,mean_gold_rank,gold_bearing_query_count,no_gold_query_count,mid_mean_completion,short_mid_mean_completion,short_mid_full_count,short_mid_full_rate,all_memory_mean_completion,all_memory_full_count,all_memory_full_rate,all_memory_requirement_hit_count,all_memory_requirement_count,delta_vs_a0,delta_vs_previous_secondary,delta_vs_c3,vs_a0_promoted,vs_a0_demoted,vs_a0_net,vs_previous_secondary_promoted,vs_previous_secondary_demoted,vs_previous_secondary_net,vs_c3_promoted,vs_c3_demoted,vs_c3_net
P0,P0 + Production Add + Full Page,236,386,0.6113989637305699,0.7746113989637305,0.8937823834196891,0.4232489714391607,7.981865284974093,742,10,0.30997304582210244,0.8113207547169812,592,0.7978436657681941,0.8517520215633423,625,0.8423180592991913,669,786,-2,-2,57,0,2,-2,0,2,-2,80,23,57
P1,P1 + Production Add + Full Page,226,386,0.5854922279792746,0.7383419689119171,0.8911917098445595,0.4110949765759376,8.55958549222798,742,10,0.29851752021563344,0.7998652291105122,582,0.784366576819407,0.839622641509434,615,0.8288409703504043,659,786,-12,-10,47,7,19,-12,7,17,-10,75,28,47
