add_variant,rank,keyword,count,category
A2,1,归母净利润,185,TASK
A2,2,总资产,155,INDICATOR
A2,3,归母股东权益,148,TASK
A2,4,营业收入,146,INDICATOR
A2,5,判断修订,117,TASK
A2,6,先升后降,114,TASK
A2,7,两段同比,91,TASK
A2,8,连续上升,79,STATE
A2,9,经营现金流,68,TASK
A2,10,扣非归母净利润,62,TASK
A2,11,承接上一轮,56,DEPENDENCY
A2,12,错位,46,STATE
A2,13,指标错位,34,STATE
A2,14,拐点,33,TASK
A2,15,年度拐点,28,TASK
A2,16,前序反证,27,TASK
A2,17,三年路径,25,BACKGROUND
A2,18,反证,24,TASK
A2,19,前序结论,22,TASK
A2,20,口径限制,21,TASK
A2,21,阶段小结,20,TASK
A2,22,不作归因,19,TASK
A2,23,证据缺口,19,BACKGROUND
A2,24,边际变化,19,BACKGROUND
A2,25,连续下降,19,STATE
A2,26,年报原数,17,TASK
A2,27,反向验证,15,TASK
A2,28,承接前序,15,DEPENDENCY
A2,29,计算结果,15,TASK
A2,30,可复算,14,TASK
