session_id,add_variant,page_count,pairwise_cosine_mean,pairwise_cosine_median,pairwise_cosine_p75,pairwise_cosine_p90,pairwise_cosine_p95,nearest_neighbor_cosine_mean,nearest_neighbor_cosine_median,nearest_neighbor_cosine_p90,nearest_neighbor_cosine_p95
S001,Old,47,0.8597845108587019,0.8652523728781679,0.8878945093259497,0.9067220380262457,0.9154742559695006,0.9198956932896611,0.9220687780596504,0.9401698689057774,0.9413272009263965
S002,Old,70,0.8642197368193223,0.8691704529542857,0.8948030527126376,0.9145456386514891,0.9259616707259282,0.9285392437305177,0.9322102328179389,0.9543316576300026,0.9590542196629408
S003,Old,90,0.8793093427188572,0.8845822069111298,0.9042731799989847,0.9201527813430891,0.9288849995395221,0.9363703900570637,0.9390556543890954,0.9556731889117679,0.9591498578510509
S004,Old,71,0.8876643901461535,0.8894102045597795,0.9127227196060141,0.9292187724809485,0.9391174424804138,0.9398735705670327,0.9444085923820481,0.9626554841581889,0.9631053733429955
S005,Old,55,0.8545327429739246,0.8575646015215118,0.8836784547050469,0.9058424050290753,0.9165950809677836,0.9151050063844948,0.9170066492764162,0.9377207939688635,0.9413604862767257
S001,A1,47,0.7294697830447968,0.7301772735046085,0.7672731941698844,0.7966737910050147,0.8138575078123779,0.8445514104498065,0.8489346343356633,0.8857578082773654,0.8885446188097011
S002,A1,70,0.7288418631974587,0.7259520894330979,0.7841067095152792,0.8340989998225448,0.8564594498096868,0.8662106453845947,0.8713069893755563,0.9113636128358806,0.9178722317707123
S003,A1,90,0.7049079755663717,0.7032643383050202,0.74817128324986,0.7955727062462531,0.8228124955295817,0.8611586465101803,0.8645358916017511,0.9080201880923573,0.9236708035146901
S004,A1,71,0.7163334567760606,0.7089275654887324,0.7648752069422791,0.8284864827043719,0.855324299675688,0.8621313491610797,0.8630232802081408,0.9179593534957836,0.9309782472785761
S005,A1,55,0.7196970161426284,0.7197622946391949,0.7608613030671261,0.797375500044223,0.8229215363732234,0.8424509804578081,0.843880588996787,0.877567509524855,0.8914766951678263
S001,A2,47,0.7797499807203663,0.7835994320272376,0.8167502424716668,0.8429819372017006,0.8560429976381643,0.8753405887839931,0.8743772373009766,0.9073375237660086,0.9219727426417696
S002,A2,70,0.7597355878347843,0.7590316168576035,0.8021588320920312,0.8412426291303883,0.859515173520643,0.8771574857307687,0.8807306650023391,0.9176475333189867,0.9183630553212956
S003,A2,90,0.7609671423176404,0.7640371440035908,0.8011742523823836,0.8322969564229485,0.849039606048166,0.87857885277253,0.8826937055016513,0.9051792808694707,0.9189714834787052
S004,A2,71,0.7557291162166224,0.7568736801798781,0.7934077468054356,0.8340994503962343,0.855493586421704,0.8821774151894335,0.8839270346245076,0.9188054238259912,0.9255092144969399
S005,A2,55,0.7659261876588458,0.767352618975544,0.8013098419635813,0.831897801116631,0.8493988547222883,0.8731175064463241,0.8719643790859724,0.9083606934652683,0.9292524170033386
S001,A3,47,0.775918206870775,0.7772789288339145,0.8135498118646025,0.842962850274774,0.8580215385640779,0.871340742170189,0.8703976550536815,0.9068666618447878,0.9084206285960043
S002,A3,70,0.7618776373034971,0.7592976256146113,0.8138354062149349,0.8545639547635075,0.8734616061272736,0.8854955497623447,0.8831407160519029,0.9201227423339513,0.9254488472894987
S003,A3,90,0.7684413998738632,0.7710184002650091,0.8084443773896768,0.8397035107511993,0.8570488246171387,0.8851914198028829,0.8847412636709007,0.9143983712518325,0.9330064301615668
S004,A3,71,0.7638667566686904,0.7617398867840933,0.8045088834311832,0.8474689644633309,0.8708191319831461,0.8882979130797694,0.8943593574606276,0.9226642402152457,0.9287542238378291
S005,A3,55,0.7803335454417876,0.7794658038040578,0.8138572596528723,0.8439063283166695,0.859314935296965,0.872432772872008,0.8759754511224004,0.9093940122670899,0.9111660086485669
