add_variant,rank,keyword,count,category
A1,1,连续上升,193,STATE
A1,2,归母净利润,188,TASK
A1,3,先升后降,178,TASK
A1,4,总资产,160,INDICATOR
A1,5,归母股东权益,148,TASK
A1,6,营业收入,139,INDICATOR
A1,7,方向冲突,116,STATE
A1,8,反证检验,89,TASK
A1,9,信息缺口,82,TASK
A1,10,经营现金流,68,TASK
A1,11,判断修订,64,TASK
A1,12,扣非归母净利润,58,TASK
A1,13,贵州茅台,53,BACKGROUND
A1,14,现金质量,40,TASK
A1,15,证据分级,36,TASK
A1,16,阶段小结,34,TASK
A1,17,比亚迪,32,BACKGROUND
A1,18,两段同比,31,TASK
A1,19,2023-2025,28,BACKGROUND
A1,20,先降后升,25,TASK
A1,21,拐点,25,TASK
A1,22,错位,25,STATE
A1,23,风险排序,25,TASK
A1,24,可复算性,22,TASK
A1,25,口径限制,20,TASK
A1,26,年度拐点,20,TASK
A1,27,三年路径,18,BACKGROUND
A1,28,资产效率,17,TASK
A1,29,连续下降,17,STATE
A1,30,年报原数,16,TASK
