完整实验配置,Add Prompt,Search 方案,Eligible Gold,Top5 recalled Gold,Micro R@5,Macro R@5,R@10,R@20,MRR,Mean Gold Rank,Promoted Gold vs Production,Demoted Gold vs Production,Net Gold gain vs Production,RESCUED Queries vs Production,HURT Queries vs Production
原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,154,50,0.3246753246753247,0.3367359868813357,0.525974025974026,0.7467532467532467,0.2948787273272229,14.571428571428571,0,0,0,0,0
原 Production Add Prompt + 上下文引用解析后检索,原 Production Add Prompt,上下文引用解析后检索,154,54,0.35064935064935066,0.3601371496720334,0.525974025974026,0.7597402597402597,0.30458163138396327,14.551948051948052,0,0,0,0,0
保守调优 Add Prompt + 原始问题直接检索,保守调优 Add Prompt,原始问题直接检索,154,45,0.2922077922077922,0.31067169264843686,0.4935064935064935,0.7467532467532467,0.26681291853614586,14.714285714285714,8,13,-5,4,9
保守调优 Add Prompt + 上下文引用解析后检索,保守调优 Add Prompt,上下文引用解析后检索,154,45,0.2922077922077922,0.30907285543913454,0.538961038961039,0.7532467532467533,0.2739339590184872,14.753246753246753,6,15,-9,2,10
