Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,dense_rank,hybrid_rank,dense_score,raw_bm25_score,normalized_bm25_score,final_score,zero_fallback_applied
H5-W50,H5-W50 vs Dense,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,6,6,0,0.41101235151290894,0.20550617575645447,-0.20550617575645447,UNCHANGED,6,6,0.41101235151290894,0.0,0.0,0.20550617575645447,False
H5-W50,H5-W50 vs Dense,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,11,0,0.6024776697158813,0.3012388348579407,-0.3012388348579407,UNCHANGED,11,11,0.6024776697158813,0.0,0.0,0.3012388348579407,False
H5-W50,H5-W50 vs Dense,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.37535619735717773,0.19042031251387892,-0.18493588484329881,UNCHANGED,3,3,0.37535619735717773,1.5993139743804932,0.005484427670580132,0.19042031251387892,False
H5-W50,H5-W50 vs Dense,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,7,7,0,0.35073208808898926,0.17536604404449463,-0.17536604404449463,UNCHANGED,7,7,0.35073208808898926,0.0,0.0,0.17536604404449463,False
H5-W50,H5-W50 vs Dense,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,5,5,0,0.3698793947696686,0.1849396973848343,-0.1849396973848343,UNCHANGED,5,5,0.3698793947696686,0.0,0.0,0.1849396973848343,False
H5-W50,H5-W50 vs Dense,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,9,0,0.3458166718482971,0.17290833592414856,-0.17290833592414856,UNCHANGED,9,9,0.3458166718482971,0.0,0.0,0.17290833592414856,False
H5-W50,H5-W50 vs Dense,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,5,0,0.3781711459159851,0.18908557295799255,-0.18908557295799255,UNCHANGED,5,5,0.3781711459159851,0.0,0.0,0.18908557295799255,False
H5-W50,H5-W50 vs Dense,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,6,6,0,0.47782114148139954,0.24024378832063098,-0.23757735316076856,UNCHANGED,6,6,0.47782114148139954,0.15131430327892303,0.002666435159862447,0.24024378832063098,False
H5-W50,H5-W50 vs Dense,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,15,15,0,0.6479976177215576,0.3253537579432105,-0.32264385977834714,UNCHANGED,15,15,0.6479976177215576,0.18373870849609375,0.002709898164863345,0.3253537579432105,False
H5-W50,H5-W50 vs Dense,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,11,11,0,0.7154013514518738,0.35908265999334,-0.3563186914585338,UNCHANGED,11,11,0.7154013514518738,0.223360076546669,0.0027639685348062014,0.35908265999334,False
H5-W50,H5-W50 vs Dense,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,7,7,0,0.7325950860977173,0.36767916620253255,-0.36491591989518474,UNCHANGED,7,7,0.7325950860977173,0.2228359580039978,0.0027632463073477683,0.36767916620253255,False
H5-W50,H5-W50 vs Dense,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,8,11,-3,0.6824973225593567,0.3425299679743967,-0.33996735458495997,UNCHANGED,8,11,0.6824973225593567,0.07167643308639526,0.0025626133894367893,0.3425299679743967,False
H5-W50,H5-W50 vs Dense,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,10,12,-2,0.6791412234306335,0.34085168098149465,-0.3382895424491389,UNCHANGED,10,12,0.6791412234306335,0.07130484282970428,0.002562138532355805,0.34085168098149465,False
H5-W50,H5-W50 vs Dense,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,3,-1,0.7513960599899292,0.37697542295961467,-0.37442063703031453,UNCHANGED,2,3,0.7513960599899292,0.06554242223501205,0.0025547859293001828,0.37697542295961467,False
H5-W50,H5-W50 vs Dense,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,3,-1,0.7454124689102173,0.37401146484107056,-0.3714010040691467,UNCHANGED,2,3,0.7454124689102173,0.10877068340778351,0.0026104607719238822,0.37401146484107056,False
H5-W50,H5-W50 vs Dense,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,13,-2,0.7210525870323181,0.3618347330106485,-0.3592178540216696,UNCHANGED,11,13,0.7210525870323181,0.11369482427835464,0.002616878988978833,0.3618347330106485,False
H5-W50,H5-W50 vs Dense,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,13,-2,0.7214906811714172,0.36203007702903367,-0.35946060414238357,UNCHANGED,11,13,0.7214906811714172,0.077036552131176,0.002569472886650148,0.36203007702903367,False
H5-W50,H5-W50 vs Dense,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,13,15,-2,0.6772738099098206,0.33990144003245254,-0.337372369877368,UNCHANGED,13,15,0.6772738099098206,0.04525740444660187,0.0025290701550845693,0.33990144003245254,False
H5-W50,H5-W50 vs Dense,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,2,3,-1,0.7298577427864075,0.3759648555180679,-0.35389288726833956,UNCHANGED,2,3,0.7298577427864075,4.4177446365356445,0.022071968249728385,0.3759648555180679,False
H5-W50,H5-W50 vs Dense,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,12,15,-3,0.6979053020477295,0.3505807094363341,-0.34732459261139537,UNCHANGED,12,15,0.6979053020477295,0.5520829558372498,0.0032561168249387517,0.3505807094363341,False
H5-W50,H5-W50 vs Dense,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,39,39,0,0.6558573842048645,0.32945073017339704,-0.32640665403146746,UNCHANGED,39,39,0.6558573842048645,0.4169817864894867,0.003044076141929611,0.32945073017339704,False
H5-W50,H5-W50 vs Dense,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,7,-3,0.7309869527816772,0.3667547092852878,-0.36423224349638944,DEMOTED,4,7,0.7309869527816772,0.04001456871628761,0.0025224657888983306,0.3667547092852878,False
