session_id,eligible_gold_count,baseline_r5,old_rewrite_r5,reference_resolution_r5,ref_vs_base_r5,ref_vs_old_r5,baseline_r10,old_rewrite_r10,reference_resolution_r10,baseline_r20,old_rewrite_r20,reference_resolution_r20,baseline_mrr,old_rewrite_mrr,reference_resolution_mrr,baseline_mean_gold_rank,old_rewrite_mean_gold_rank,reference_resolution_mean_gold_rank,old_promoted_gold,old_demoted_gold,old_net_gain,reference_promoted_gold,reference_demoted_gold,reference_net_gain,recovered_old_rewrite_demotions,lost_old_rewrite_rescues,new_rescues,new_demotions,reference_rescued_queries,reference_hurt_queries,old_hurt_queries_recovered,old_rescue_queries_lost,baseline_macro_session_r5,old_rewrite_macro_session_r5,reference_resolution_macro_session_r5
S001,21,0.3333333333333333,0.38095238095238093,0.42857142857142855,0.09523809523809523,0.047619047619047616,0.5714285714285714,0.5238095238095238,0.6666666666666666,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.3321719286005,0.217947851655282,0.2614748677248677,10.238095238095237,11.095238095238095,10.333333333333334,2,1,1,2,0,2,1,1,1,0,2,0,1,0,,,
S002,32,0.4375,0.375,0.4375,0.0,0.0625,0.6875,0.65625,0.75,0.90625,0.84375,0.90625,0.30921758119900533,0.3084736251402918,0.3226186821171624,9.78125,11.34375,9.6875,3,5,-2,1,1,0,4,2,0,0,1,1,2,1,,,
S003,43,0.23255813953488372,0.37209302325581395,0.23255813953488372,0.0,-0.13953488372093023,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.5813953488372093,0.6511627906976745,0.6046511627906976,0.251890510659486,0.2823702964847644,0.2354765052913292,20.58139534883721,17.930232558139537,20.348837209302324,6,0,6,1,1,0,0,6,1,1,1,1,0,4,,,
S004,32,0.21875,0.25,0.28125,0.0625,0.03125,0.4375,0.5,0.5,0.6875,0.65625,0.6875,0.23194041924156755,0.20260818455166657,0.23129971805702756,16.84375,15.53125,15.84375,4,3,1,3,1,2,2,2,1,0,2,1,2,2,,,
S005,26,0.46153846153846156,0.3076923076923077,0.4230769230769231,-0.03846153846153849,0.11538461538461536,0.5769230769230769,0.5384615384615384,0.6923076923076923,0.8076923076923077,0.7307692307692307,0.8076923076923077,0.38994798344643544,0.2995359965948201,0.32278328211079826,11.23076923076923,13.807692307692308,11.0,1,5,-4,1,2,-1,3,1,1,0,0,2,2,0,,,
Aggregate,154,0.3246753246753247,0.33766233766233766,0.34415584415584416,0.019480519480519487,0.006493506493506496,0.525974025974026,0.5194805194805194,0.577922077922078,0.7467532467532467,0.7272727272727273,0.7467532467532467,0.2948787273272229,0.2648255310850595,0.2717438331844875,14.571428571428571,14.435064935064934,14.253246753246753,16,14,2,8,5,3,10,12,4,1,6,5,7,7,0.3367359868813357,0.33714754238010053,0.3605912982366471
