Config,Description,BM25 Query,BM25 Page,IDF Scope,Filter,R@5,Gold@5,Macro R@5,R@10,R@20,MRR,Mean Gold Rank,Delta vs Dense,Delta vs H0,Promoted vs Dense,Demoted vs Dense,Net vs Dense,Rescued Q vs Dense,Hurt Q vs Dense,Promoted vs H0,Demoted vs H0,Net vs H0,Rescued Q vs H0,Hurt Q vs H0
H0,当前 Production Hybrid,P2,Summary + Keywords,Visible Pages,OFF,0.2987012987012987,46,0.3106828733282222,0.6038961038961039,0.8246753246753247,0.25507084778359157,12.155844155844155,-0.08441558441558444,0.0,12,25,-13,8,23,0,0,0,0,0
H1,BM25 Query 去噪,Original,Summary + Keywords,Visible Pages,OFF,0.3181818181818182,49,0.33255015333503707,0.6103896103896104,0.8181818181818182,0.2620975383641417,11.863636363636363,-0.06493506493506496,0.019480519480519487,13,23,-10,10,22,5,2,3,5,2
H2,BM25 Page = Keywords Only,P2,Keywords Only,Visible Pages,OFF,0.3116883116883117,48,0.33101627055115423,0.5584415584415584,0.7857142857142857,0.26235747436845175,12.779220779220779,-0.07142857142857145,0.012987012987012991,5,16,-11,4,16,13,11,2,11,8
H3,BM25 stopword / 高频模板词过滤,P2,Summary + Keywords,Visible Pages,ON,0.3181818181818182,49,0.3292763438112275,0.5909090909090909,0.8246753246753247,0.24918823756330277,12.415584415584416,-0.06493506493506496,0.019480519480519487,12,22,-10,8,20,3,0,3,3,0
H4,Dense Top60 Local-IDF BM25,P2,Summary + Keywords,Dense Top60,OFF,0.2922077922077922,45,0.30443287332822216,0.6038961038961039,0.8246753246753247,0.25500177287234493,11.993506493506494,-0.09090909090909094,-0.006493506493506496,11,25,-14,7,23,0,1,-1,0,1
H5,Combined,Original,Keywords Only,Dense Top60,ON,0.33116883116883117,51,0.34656859613254964,0.5454545454545454,0.7987012987012987,0.27249632328083506,12.272727272727273,-0.051948051948051965,0.03246753246753248,5,13,-8,4,13,16,11,5,14,8
