config_id,candidate_id,input_id,session_id,session_code,selection_status,eligible_gold_count,candidate_recall,candidate_hits,mean_candidate_count,p95_candidate_count,recall_at_5,recall_at_10,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,promoted,demoted,preserved_hit,still_miss,net_gain,packing_mean_ms,rerank_estimated_mean_ms
C5_UNION20X20__R0_P8_CURRENT,C5_UNION20X20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.96875,31,22.857142857142858,32.0,0.4375,0.53125,0.2892309103981578,0.27633846166457865,12.21875,8.5,4,4,10,14,0,0.08582527862883926,3782.8279809570545
C5_UNION20X20__R0_P8_CURRENT,C5_UNION20X20,R0_P8_CURRENT,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.7906976744186046,34,24.23076923076923,32.0,0.27906976744186046,0.3953488372093023,0.21115532737554543,0.1973931289048472,18.976744186046513,15,3,1,9,30,2,0.08190542072183095,4824.891788371622
C5_UNION20X20__R0_P8_CURRENT,C5_UNION20X20,R0_P8_CURRENT,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.84375,27,23.285714285714285,32.0,0.28125,0.5625,0.19665677701391987,0.15299328445951313,14.34375,9.0,3,1,6,22,2,0.06683447420419682,4309.214886653887
C5_UNION20X20__R0_P8_CURRENT,C5_UNION20X20,R0_P8_CURRENT,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.9230769230769231,24,20.941176470588236,30.2,0.3076923076923077,0.46153846153846156,0.2372534843897073,0.20542531929596575,13.0,12.5,3,7,5,11,-4,0.05997152937411824,3158.9662659711703
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.38095238095238093,0.6666666666666666,0.274125044754744,0.2408916841835418,9.80952380952381,7,4,3,4,10,1,0.0,0.0
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.40625,0.53125,0.2558160061088693,0.24062772444778185,12.09375,9.0,3,4,10,15,-1,0.0,0.0
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.20930232558139536,0.3953488372093023,0.19573529248270646,0.16370177341989164,18.86046511627907,13,2,3,7,31,-1,0.0,0.0
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.21875,0.5,0.18248112438697597,0.1370992016793314,14.375,10.5,3,3,4,22,0,0.0,0.0
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.34615384615384615,0.46153846153846156,0.23959716753834404,0.21005675142408342,12.307692307692308,11.0,4,7,5,10,-3,0.0,0.0
C3_FIXED_UNION20__R1_KEYWORDS_FIRST,C3_FIXED_UNION20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.8095238095238095,17,16.0,20.0,0.38095238095238093,0.6190476190476191,0.26584588861068104,0.2408916841835418,10.619047619047619,8,4,3,4,10,1,0.04840093190848295,9507.666068573419
C3_FIXED_UNION20__R1_KEYWORDS_FIRST,C3_FIXED_UNION20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.875,28,17.333333333333332,20.0,0.40625,0.53125,0.26758994645423817,0.24888654479928643,11.875,9.0,3,4,10,15,-1,0.04412447742652148,8740.52890306271
C3_FIXED_UNION20__R1_KEYWORDS_FIRST,C3_FIXED_UNION20,R1_KEYWORDS_FIRST,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.23255813953488372,0.3953488372093023,0.19885735212896444,0.1728247623725569,18.72093023255814,13,3,3,7,30,0,0.04100073084163551,11184.171108955268
C3_FIXED_UNION20__R1_KEYWORDS_FIRST,C3_FIXED_UNION20,R1_KEYWORDS_FIRST,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.6875,22,17.333333333333332,20.0,0.1875,0.4375,0.16647571513781156,0.12250045899443952,14.9375,11.0,2,3,4,23,-1,0.04761048088160654,9005.282113189374
C3_FIXED_UNION20__R1_KEYWORDS_FIRST,C3_FIXED_UNION20,R1_KEYWORDS_FIRST,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.3076923076923077,0.46153846153846156,0.23005096468718758,0.19452333244922515,12.73076923076923,11.5,3,7,5,11,-4,0.03683018268716028,7009.209005005601
C4_UNION15X15__R1_KEYWORDS_FIRST,C4_UNION15X15,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.928571428571427,24.7,0.38095238095238093,0.6666666666666666,0.2716991341991342,0.2408916841835418,10.095238095238095,7,4,3,4,10,1,0.038722073700877706,10154.427291712333
C4_UNION15X15__R1_KEYWORDS_FIRST,C4_UNION15X15,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.875,28,18.38095238095238,23.0,0.40625,0.53125,0.26711052591331136,0.24888654479928643,12.1875,9.0,3,4,10,15,-1,0.04642471183268797,9339.15725491652
C4_UNION15X15__R1_KEYWORDS_FIRST,C4_UNION15X15,R1_KEYWORDS_FIRST,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.7209302325581395,31,20.115384615384617,26.0,0.20930232558139536,0.3953488372093023,0.19463027975173725,0.16370177341989164,19.186046511627907,14,2,3,7,31,-1,0.0477468034100289,12607.490192716094
C4_UNION15X15__R1_KEYWORDS_FIRST,C4_UNION15X15,R1_KEYWORDS_FIRST,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,19.19047619047619,25.0,0.1875,0.40625,0.16399592471021043,0.12250045899443952,15.25,11.0,2,3,4,23,-1,0.043329526393097784,10146.883125554983
C4_UNION15X15__R1_KEYWORDS_FIRST,C4_UNION15X15,R1_KEYWORDS_FIRST,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,17.41176470588235,23.2,0.3076923076923077,0.46153846153846156,0.228862610557657,0.19452333244922515,13.0,11.0,3,7,5,11,-4,0.042312359950943464,7395.163384275059
C5_UNION20X20__R1_KEYWORDS_FIRST,C5_UNION20X20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,1.0,21,19.714285714285715,29.049999999999997,0.38095238095238093,0.6666666666666666,0.2706394096099978,0.2408916841835418,10.380952380952381,7,4,3,4,10,1,0.043914938162613125,11781.5679387128
C5_UNION20X20__R1_KEYWORDS_FIRST,C5_UNION20X20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.96875,31,22.857142857142858,32.0,0.40625,0.53125,0.2562947759092283,0.24062772444778185,12.84375,9.0,3,4,10,15,-1,0.06422028499877169,11721.578617984822
C5_UNION20X20__R1_KEYWORDS_FIRST,C5_UNION20X20,R1_KEYWORDS_FIRST,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.7906976744186046,34,24.23076923076923,32.0,0.20930232558139536,0.3488372093023256,0.1905614470754851,0.16370177341989164,19.441860465116278,14,2,3,7,31,-1,0.06760907070621705,15027.21905007454
C5_UNION20X20__R1_KEYWORDS_FIRST,C5_UNION20X20,R1_KEYWORDS_FIRST,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.84375,27,23.285714285714285,32.0,0.1875,0.4375,0.17050154517241353,0.12250045899443952,14.875,11.0,2,3,4,23,-1,0.052601094163643815,12209.504265793743
C5_UNION20X20__R1_KEYWORDS_FIRST,C5_UNION20X20,R1_KEYWORDS_FIRST,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.9230769230769231,24,20.941176470588236,30.2,0.34615384615384615,0.46153846153846156,0.23512693446903973,0.21005675142408342,13.0,11.5,4,7,5,10,-3,0.053036298007046914,8966.410036733936
