config_id,candidate_id,input_id,session_id,session_code,selection_status,eligible_gold_count,candidate_recall,candidate_hits,mean_candidate_count,p95_candidate_count,recall_at_5,recall_at_10,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,promoted,demoted,preserved_hit,still_miss,net_gain,packing_mean_ms,rerank_estimated_mean_ms,canonical_input_id,is_alias
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.5,0.15528072801364726,0.13428862076150996,14.78125,10.5,4,3,4,21,1,20.833997479279613,8302.247895736704,,
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.18023865792031882,0.15483503464196144,13.115384615384615,11.5,2,7,5,12,-5,24.918458713834887,9075.953002986567,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.47619047619047616,0.2231471535982814,0.15902102753792263,11.714285714285714,12,2,4,3,12,-2,19.777681708676806,8130.102861713177,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.4375,0.625,0.233654107161256,0.23784331700135078,11.375,7.5,5,5,9,13,0,25.572081616181613,8559.866919493114,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.46511627906976744,0.2119227948469771,0.17734613724490747,18.46511627906977,14,4,3,7,29,1,20.384211345047405,8939.581395490397,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.5,0.15528072801364726,0.13428862076150996,14.78125,10.5,4,3,4,21,1,20.550031760995765,7607.05870170958,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.18023865792031882,0.15483503464196144,13.115384615384615,11.5,2,7,5,12,-5,23.004891290089716,6775.0492443524045,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,PACK_A_USER_KEYWORDS_GUARANTEED,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.47619047619047616,0.2231471535982814,0.15902102753792263,11.714285714285714,12,2,4,3,12,-2,19.777681708676806,8130.102861713177,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,PACK_A_USER_KEYWORDS_GUARANTEED,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.4375,0.625,0.233654107161256,0.23784331700135078,11.375,7.5,5,5,9,13,0,25.572081616181613,8559.866919493114,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,PACK_A_USER_KEYWORDS_GUARANTEED,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.46511627906976744,0.2119227948469771,0.17734613724490747,18.46511627906977,14,4,3,7,29,1,20.384211345047405,8939.581395490397,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,PACK_A_USER_KEYWORDS_GUARANTEED,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.5,0.15528072801364726,0.13428862076150996,14.78125,10.5,4,3,4,21,1,20.550031760995765,7607.05870170958,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,PACK_A_USER_KEYWORDS_GUARANTEED,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.18023865792031882,0.15483503464196144,13.115384615384615,11.5,2,7,5,12,-5,23.004891290089716,6775.0492443524045,R2_PACK_A,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_KEYWORDS_USER_SUMMARY_BUDGETED,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.42857142857142855,0.22406951125438518,0.16171915161232792,12.142857142857142,13,1,3,4,13,-2,18.735615006465064,11212.280341356485,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_KEYWORDS_USER_SUMMARY_BUDGETED,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.40625,0.625,0.28371661079518823,0.2696285597136398,11.125,6.5,4,5,9,14,-1,20.40228690436509,12406.327116213495,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_KEYWORDS_USER_SUMMARY_BUDGETED,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.4418604651162791,0.19207728947515595,0.169472514510271,18.674418604651162,13,4,3,7,29,1,25.876979612803552,13405.538091158913,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_KEYWORDS_USER_SUMMARY_BUDGETED,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.21875,0.4375,0.1562957134050148,0.1322067699298338,14.875,12.0,3,3,4,22,0,23.833788475409772,11599.022258481411,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_KEYWORDS_USER_SUMMARY_BUDGETED,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.16913160369042723,0.1501127281212666,13.384615384615385,12.5,2,7,5,12,-5,19.699979127514833,7474.035137367429,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,PACK_B_KEYWORDS_USER_GUARANTEED,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.42857142857142855,0.22406951125438518,0.16171915161232792,12.142857142857142,13,1,3,4,13,-2,18.735615006465064,11212.280341356485,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,PACK_B_KEYWORDS_USER_GUARANTEED,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.40625,0.625,0.28371661079518823,0.2696285597136398,11.125,6.5,4,5,9,14,-1,20.40228690436509,12406.327116213495,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,PACK_B_KEYWORDS_USER_GUARANTEED,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.4418604651162791,0.19207728947515595,0.169472514510271,18.674418604651162,13,4,3,7,29,1,25.876979612803552,13405.538091158913,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,PACK_B_KEYWORDS_USER_GUARANTEED,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.21875,0.4375,0.1562957134050148,0.1322067699298338,14.875,12.0,3,3,4,22,0,23.833788475409772,11599.022258481411,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,PACK_B_KEYWORDS_USER_GUARANTEED,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.16913160369042723,0.1501127281212666,13.384615384615385,12.5,2,7,5,12,-5,19.699979127514833,7474.035137367429,R4_PACK_B,True
