candidate_id,session_id,session_code,selection_status,eligible_gold_count,candidate_recall,candidate_hits,mean_candidate_count,p95_candidate_count,candidate_top5_recall,candidate_top5_mrr,candidate_top5_ndcg_at_5
C0_DENSE20,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.8571428571428571,18,16.0,20.0,0.3333333333333333,0.3321719286005,0.2643979623233413
C0_DENSE20,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.90625,29,17.333333333333332,20.0,0.4375,0.30921758119900533,0.26410966570646666
C0_DENSE20,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.5813953488372093,25,17.846153846153847,20.0,0.23255813953488372,0.251890510659486,0.1960425085632537
C0_DENSE20,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.6875,22,17.333333333333332,20.0,0.21875,0.23194041924156755,0.16746856098658144
C0_DENSE20,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.46153846153846156,0.38994798344643544,0.3290836383453924
C1_BM25_20,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.8571428571428571,18,16.0,20.0,0.19047619047619047,0.20350429645542428,0.13217123908725575
C1_BM25_20,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.875,28,17.333333333333332,20.0,0.25,0.20491582072592526,0.1536933438510859
C1_BM25_20,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.627906976744186,27,17.846153846153847,20.0,0.20930232558139536,0.19662173637223374,0.1518406551651296
C1_BM25_20,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.6875,22,17.333333333333332,20.0,0.21875,0.13378445312969123,0.11452474009167427
C1_BM25_20,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8461538461538461,22,16.705882352941178,20.0,0.19230769230769232,0.2277529659882601,0.12902508256572182
C2_RRF60_20,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.3333333333333333,0.2780562982768865,0.22937206888737643
C2_RRF60_20,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.40625,0.30279911559197875,0.2627723417322592
C2_RRF60_20,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.27906976744186046,0.2572462214204037,0.21215096159834282
C2_RRF60_20,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.1713135659228673,0.14006444274603208
C2_RRF60_20,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.38461538461538464,0.27743139213727447,0.24231595440718823
C3_FIXED_UNION20,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.8095238095238095,17,16.0,20.0,0.3333333333333333,0.29434708666075127,0.24817110182418517
C3_FIXED_UNION20,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.875,28,17.333333333333332,20.0,0.28125,0.2846501543757906,0.1991436624696451
C3_FIXED_UNION20,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.23813328253075813,0.2007591618160537
C3_FIXED_UNION20,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.6875,22,17.333333333333332,20.0,0.25,0.20002096205103723,0.16786182904500302
C3_FIXED_UNION20,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.5384615384615384,0.3303332768730693,0.32153389474534194
C4_UNION15X15,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.928571428571427,24.7,0.3333333333333333,0.27828972498090143,0.22937206888737643
C4_UNION15X15,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.875,28,18.38095238095238,23.0,0.40625,0.30256235621808286,0.2627723417322592
C4_UNION15X15,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.7209302325581395,31,20.115384615384617,26.0,0.27906976744186046,0.25710686802018073,0.21215096159834282
C4_UNION15X15,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,19.19047619047619,25.0,0.25,0.17108199854844278,0.14006444274603208
C4_UNION15X15,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,17.41176470588235,23.2,0.38461538461538464,0.27757144815968343,0.24231595440718823
C5_UNION20X20,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,1.0,21,19.714285714285715,29.049999999999997,0.3333333333333333,0.2780562982768865,0.22937206888737643
C5_UNION20X20,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.96875,31,22.857142857142858,32.0,0.40625,0.30307337305014426,0.2627723417322592
C5_UNION20X20,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.7906976744186046,34,24.23076923076923,32.0,0.27906976744186046,0.25667288171662916,0.21215096159834282
C5_UNION20X20,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.84375,27,23.285714285714285,32.0,0.25,0.17145128975624332,0.14006444274603208
C5_UNION20X20,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.9230769230769231,24,20.941176470588236,30.2,0.38461538461538464,0.27743139213727447,0.24231595440718823
