config_id,candidate_id,input_id,scope,selection_status,session_count,eligible_gold_count,candidate_recall,candidate_hits,mean_candidate_count,p95_candidate_count,recall_at_5,recall_at_10,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,macro_session_recall_at_5,macro_session_mrr,macro_session_ndcg_at_5,promoted,demoted,preserved_hit,still_miss,net_gain,packing_mean_ms,rerank_estimated_mean_ms,canonical_input_id,is_alias
C2_RRF60_20__R0_P8_CURRENT,C2_RRF60_20,R0_P8_CURRENT,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.35064935064935066,0.5,0.2504842143940141,0.22646913828279702,13.88961038961039,10.5,0.36259051026492883,0.2556869314672605,0.23179637949705306,19,15,35,85,4,0.0,0.0,,
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2987012987012987,0.4935064935064935,0.22428545272405437,0.1932521203067229,14.181818181818182,11.0,0.3122817105375245,0.22955092705432795,0.19847542703092602,16,20,30,88,-4,0.047612560964853196,8862.032421582879,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_PACK_A,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2922077922077922,0.5,0.2006640559567246,0.17458848723062556,14.402597402597403,10.5,0.2901279921628759,0.20084868830809613,0.17266682743753045,17,22,28,87,-5,21.85777954419826,8002.331824551735,,
C2_RRF60_20__R3_USER_SUMMARY,C2_RRF60_20,R3_USER_SUMMARY,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2922077922077922,0.512987012987013,0.20211643250409128,0.17740098572797453,14.337662337662337,10.0,0.29667561121049496,0.20267475679818628,0.17746356467251323,18,23,27,86,-5,18.924156614380205,7237.316556173895,,
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_PACK_B,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2792207792207792,0.474025974025974,0.2045098864126967,0.17839203838802137,14.532467532467532,11.5,0.27762799216287587,0.20505814572403427,0.17662794477746782,14,21,29,90,-7,21.709729825311662,11219.440588915546,,
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2922077922077922,0.5,0.2006640559567246,0.17458848723062556,14.402597402597403,10.5,0.2901279921628759,0.20084868830809613,0.17266682743753045,17,22,28,87,-5,21.225842566716626,8584.444712950124,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2922077922077922,0.5,0.2006640559567246,0.17458848723062556,14.402597402597403,10.5,0.2901279921628759,0.20084868830809613,0.17266682743753045,17,22,28,87,-5,21.85777954419826,8002.331824551735,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,PACK_A_USER_KEYWORDS_GUARANTEED,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2922077922077922,0.5,0.2006640559567246,0.17458848723062556,14.402597402597403,10.5,0.2901279921628759,0.20084868830809613,0.17266682743753045,17,22,28,87,-5,21.85777954419826,8002.331824551735,R2_PACK_A,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_KEYWORDS_USER_SUMMARY_BUDGETED,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2792207792207792,0.474025974025974,0.2045098864126967,0.17839203838802137,14.532467532467532,11.5,0.27762799216287587,0.20505814572403427,0.17662794477746782,14,21,29,90,-7,21.709729825311662,11219.440588915546,R4_PACK_B,True
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,PACK_B_KEYWORDS_USER_GUARANTEED,S001-S005 development/diagnosis aggregate; not held-out,S001-S005_TUNED,5,154,0.7727272727272727,119,17.171717171717173,20.0,0.2792207792207792,0.474025974025974,0.2045098864126967,0.17839203838802137,14.532467532467532,11.5,0.27762799216287587,0.20505814572403427,0.17662794477746782,14,21,29,90,-7,21.709729825311662,11219.440588915546,R4_PACK_B,True
