model,status,official_contract,tokenizer_audit_status,tokenizer,reason,page_embedding_count,query_embedding_count,elapsed_seconds,official_repository_has_local_weights,official_repository_has_tokenizer,CONAN_AK_present,CONAN_SK_present,embedding_count,api_attempt_count,resource_attempt_count,weight_download_completed,measured_pages_before_stop,measured_cpu_seconds_per_page_range,selected_max_length,dimension,device,cache_hit_artifact_count
tencent/Youtu-Embedding,BLOCKED_LOCAL_RESOURCES,"{""key"": ""youtu"", ""model_id"": ""tencent/Youtu-Embedding"", ""official_url"": ""https://huggingface.co/tencent/Youtu-Embedding"", ""query_method"": ""SentenceTransformer.encode_query"", ""document_method"": ""SentenceTransformer.encode_document"", ""query_prompt"": ""Instruction: Given a search query, retrieve passages that answer the question \nQuery:"", ""trust_remote_code"": true, ""official_max_length"": 8192, ""preferred_device"": ""cpu"", ""official_notes"": ""2B/2048-d; official query/document methods; right padding; mean pooling excluding instruction""}",PASS,"{""model"": ""tencent/Youtu-Embedding"", ""tokenizer_class"": ""TokenizersBackend"", ""tokenizer_native_model_max_length"": 1024, ""truncation_side"": ""left"", ""padding_side"": ""right"", ""selected_max_length"": 1024, ""official_supported_max_length"": 8192, ""Page"": {""count"": 333, ""mean"": 431.26126126126127, ""median"": 416, ""p90"": 539.8, ""max"": 610, ""truncated_count"": 0}, ""Query"": {""count"": 99, ""mean"": 65.42424242424242, ""median"": 61, ""p90"": 86.2, ""max"": 116, ""truncated_count"": 0}, ""query_instruction"": ""Instruction: Given a search query, retrieve passages that answer the question \nQuery:""}",The official 8.98 GiB weights exceed the 4 GiB GPU and leave insufficient headroom on the 11 GiB host for a standards-preserving local run. No quantization/offload substitute was used because that would change the requested official encoding standard.,0,0,13.545274308999069,,,,,,,,,,,,,,
TencentBAC/Conan-embedding-v2,BLOCKED_OFFICIAL_ARTIFACT_OR_CREDENTIALS,"{""key"": ""conan"", ""model_id"": ""TencentBAC/Conan-embedding-v2"", ""official_url"": ""https://huggingface.co/TencentBAC/Conan-embedding-v2"", ""query_method"": ""official authenticated Conan API"", ""document_method"": ""official authenticated Conan API"", ""query_prompt"": """", ""trust_remote_code"": true, ""official_max_length"": 32768, ""preferred_device"": ""remote-api"", ""official_notes"": ""Official repository currently publishes client code only; API requires CONAN_AK and CONAN_SK""}",NOT_POSSIBLE_NO_OFFICIAL_TOKENIZER,,"Official Hugging Face repository contains client/example code but no model weights or tokenizer. The official temporary API requires CONAN_AK and CONAN_SK, which are absent.",,,,False,False,False,False,0,0,,,,,,,,
Qwen/Qwen3-Embedding-4B,BLOCKED_LOCAL_RESOURCES,"{""key"": ""qwen3_4b"", ""model_id"": ""Qwen/Qwen3-Embedding-4B"", ""official_url"": ""https://huggingface.co/Qwen/Qwen3-Embedding-4B"", ""query_method"": ""SentenceTransformer.encode(prompt_name='query')"", ""document_method"": ""SentenceTransformer.encode"", ""query_prompt"": ""Instruct: Given a web search query, retrieve relevant passages that answer the query\nQuery:"", ""trust_remote_code"": false, ""official_max_length"": 32768, ""preferred_device"": ""cpu"", ""official_notes"": ""4B/2560-d; official stored query prompt; last-token pooling; left padding""}",PASS,"{""model"": ""Qwen/Qwen3-Embedding-4B"", ""tokenizer_class"": ""Qwen2Tokenizer"", ""tokenizer_native_model_max_length"": 131072, ""truncation_side"": ""right"", ""padding_side"": ""left"", ""selected_max_length"": 1024, ""official_supported_max_length"": 32768, ""Page"": {""count"": 333, ""mean"": 465.2072072072072, ""median"": 444, ""p90"": 588.0, ""max"": 694, ""truncated_count"": 0}, ""Query"": {""count"": 99, ""mean"": 58.101010101010104, ""median"": 56, ""p90"": 76.2, ""max"": 98, ""truncated_count"": 0}, ""query_instruction"": ""Instruct: Given a web search query, retrieve relevant passages that answer the query\nQuery:""}","The official 7.49 GiB BF16 weights exceed the 4 GiB GPU. CPU encoding was measured at 183-232 seconds per Page (batch_size=1), projecting roughly 17-21 hours for 333 Pages; the run was stopped after two Pages without changing precision or the benchmark.",0,0,3.466519191999396,,,,,,,1,True,2,"[183, 232]",,,,
aspire/acge_text_embedding,COMPLETED,"{""key"": ""acge"", ""model_id"": ""aspire/acge_text_embedding"", ""official_url"": ""https://huggingface.co/aspire/acge_text_embedding"", ""query_method"": ""SentenceTransformer.encode"", ""document_method"": ""SentenceTransformer.encode"", ""query_prompt"": """", ""trust_remote_code"": false, ""official_max_length"": 1024, ""preferred_device"": ""cuda"", ""official_notes"": ""Chinese retrieval model; native 1792-d output; no query instruction""}",PASS,"{""model"": ""aspire/acge_text_embedding"", ""tokenizer_class"": ""BertTokenizer"", ""tokenizer_native_model_max_length"": 1024, ""truncation_side"": ""right"", ""padding_side"": ""right"", ""selected_max_length"": 1024, ""official_supported_max_length"": 1024, ""Page"": {""count"": 333, ""mean"": 501.9159159159159, ""median"": 482, ""p90"": 626.4000000000001, ""max"": 697, ""truncated_count"": 0}, ""Query"": {""count"": 99, ""mean"": 61.44444444444444, ""median"": 55, ""p90"": 85.00000000000001, ""max"": 115, ""truncated_count"": 0}, ""query_instruction"": null}",,333,99,100.00736488300026,,,,,,,,,,,1024,1792,cuda:0,0
